retroID,wOBA,wRC+,WAR
bondb001,0.435,173,164.4
ruthb101,0.519,200,159.5
maysw101,0.409,154,149.9
aaroh101,0.403,153,136.3
willt103,0.493,188,130.4
musis101,0.435,158,126.8
gehrl101,0.477,173,116.3
rodra001,0.395,141,113.7
mantm101,0.428,170,112.3
hornr101,0.474,179,110.6
ott-m101,0.43,156,110.5
schmm001,0.395,147,106.5
hendr001,0.372,132,106.3
robif103,0.404,153,104
foxxj101,0.46,158,101.8
morgj001,0.372,135,98.8
mathe101,0.389,143,96.1
yastc101,0.375,130,94.8
ripkc001,0.346,112,92.5
kalia101,0.378,134,88.9
boggw001,0.381,132,88.3
pujoa001,0.388,144,87.7
bretg001,0.374,132,84.6
jonec004,0.397,141,84.6
belta001,0.35,115,84.1
dimaj101,0.439,152,83.1
clemr101,0.365,129,80.6
bagwj001,0.405,149,80.2
rosep001,0.354,121,80.2
robib104,0.322,104,80.2
gehrc101,0.405,124,78.6
grifk002,0.384,131,77.7
bencj101,0.362,125,74.8
frisf101,0.37,112,74.8
wanep101,0.403,135,74.7
troum001,0.419,172,73.4
jeted001,0.36,119,73.1
jackr001,0.374,139,72.7
appll101,0.378,115,72.7
vauga101,0.399,138,72.6
carer001,0.369,132,72.3
thomf001,0.416,154,72.1
murre001,0.365,127,72
santr102,0.367,126,70.9
cabrm001,0.395,146,70.6
palmr001,0.38,130,70
roles001,0.368,122,69.9
cartg001,0.342,116,69.4
simma101,0.41,130,69.3
rodri001,0.344,104,69.2
gricb001,0.361,129,69.2
thomj002,0.406,145,69.1
walkl001,0.412,140,68.7
mizej101,0.433,157,68.6
fiskc001,0.354,117,68.3
whitl001,0.353,118,68.1
beltc001,0.358,118,67.9
molip001,0.361,122,67.7
smito001,0.305,90,67.6
mccow101,0.388,145,67.4
larkb001,0.36,118,67
jonea002,0.352,111,67
cronj101,0.393,120,66.6
younr001,0.343,113,66.5
ramim002,0.418,153,66.4
raint001,0.361,125,66.4
mcgwm001,0.415,157,66.3
killh102,0.389,142,66.1
biggc001,0.352,115,65.8
nettg001,0.337,111,65.7
marte001,0.405,147,65.5
evand002,0.375,129,65.1
gwynt001,0.37,132,65
smitr101,0.379,137,64.6
boudl101,0.375,122,64.5
edmoj001,0.385,132,64.5
goslg101,0.402,127,64
trama001,0.343,111,63.7
berry101,0.37,124,63.7
piazm001,0.39,140,63.7
alomr001,0.359,118,63.6
snidd101,0.404,139,63.5
banke101,0.359,118,63.3
utlec001,0.356,118,62.9
starw101,0.387,145,62.9
loftk001,0.352,109,62.4
torrj101,0.364,129,62.3
heilh101,0.443,150,62.3
shefg001,0.391,141,62.1
randw001,0.335,109,62
bellb001,0.335,108,61.7
alled101,0.4,155,61.3
reesp101,0.35,103,61.3
evand001,0.355,120,61.2
greeh102,0.453,154,61.1
sandr001,0.351,115,60.9
gordj101,0.379,121,60.6
willb104,0.376,132,60.4
sosas001,0.37,124,60.1
winfd001,0.364,128,59.9
abreb001,0.378,129,59.8
dawsa001,0.35,117,59.5
hernk001,0.365,131,59.4
peret001,0.356,121,58.9
suzui001,0.328,104,57.8
ashbr101,0.362,115,57.4
olerj001,0.377,130,57.3
canor001,0.36,125,57.3
robij103,0.406,135,57.2
bondb101,0.368,130,57.1
terrb101,0.407,137,57
johnb102,0.411,133,57
mcgrf001,0.383,134,56.9
ventr001,0.351,113,56.7
bands101,0.346,121,56.2
vottj001,0.402,151,56.2
dickb101,0.396,126,56.1
kentj001,0.367,123,56
berkl001,0.4,144,55.9
hacks101,0.375,124,55.8
cey-r001,0.356,123,55.6
gonzl001,0.364,118,55.2
martr004,0.33,104,55.2
hermb101,0.361,115,55
heltt001,0.405,132,54.9
speat101,0.442,148,54.9
gileb002,0.388,136,54.8
boyek101,0.355,116,54.8
cashn101,0.382,139,54.6
medwj101,0.393,133,54.6
guerv001,0.39,136,54.5
mccab002,0.34,110,54.5
simmt001,0.347,116,54.2
moliy001,0.321,99,54
hartg103,0.389,127,53.7
daviw102,0.321,105,53.7
doerb101,0.38,115,53.3
cuylk101,0.393,126,52.9
wynnj101,0.362,130,52.8
poseb001,0.356,128,52.7
mauej001,0.358,123,52.5
lemoc001,0.356,122,52
wrigd002,0.373,133,52
clarw001,0.381,136,52
slaue101,0.384,126,51.4
dobyl101,0.396,137,51.1
longe001,0.345,119,51.1
ortid001,0.392,140,51
cruzj001,0.344,119,50.8
ricej001,0.375,128,50.8
minom101,0.382,133,50.8
cochm101,0.413,132,50.6
clarj001,0.377,138,50.6
camem001,0.341,107,50.6
ellib103,0.38,124,50.5
cepeo101,0.37,131,50.3
lazzt101,0.387,122,50.1
mccua001,0.37,135,49.9
cedec001,0.353,122,49.9
giamj001,0.394,140,49.8
hollm001,0.383,135,49.7
rollj001,0.323,95,49.4
colar101,0.373,132,49.2
lynnf001,0.372,129,49.2
aparl101,0.296,83,49.1
stepv101,0.377,117,48.6
downb001,0.36,124,48.4
sewej101,0.377,111,48.1
staur001,0.353,122,47.9
avere101,0.417,131,47.9
kinsi001,0.338,107,47.7
aloum001,0.378,129,47.7
kiner101,0.427,147,47.6
granc001,0.347,115,47.6
pinsv101,0.34,110,47.3
fostg001,0.36,126,47.1
pedrd001,0.352,115,46.6
philt001,0.347,112,46.6
kellc101,0.428,152,46
drewj001,0.378,127,46
jackt101,0.351,101,46
harrt001,0.347,116,45.8
gracm001,0.364,120,45.5
fox-n101,0.325,96,45.2
rices101,0.374,112,45.1
cobbt101,0.433,144,45
tenag101,0.373,140,45
campb101,0.298,90,44.9
puckk001,0.366,122,44.9
freeb103,0.339,113,44.8
willm003,0.345,110,44.8
teixm001,0.371,127,44.7
burke001,0.379,125,44.7
damoj001,0.344,105,44.4
singk001,0.371,134,44.4
zobrb001,0.342,116,44.4
murpd001,0.357,119,44.3
fregj101,0.331,113,44.2
delgc001,0.391,135,44.1
poweb101,0.365,134,44.1
camid102,0.403,136,44
myerb103,0.372,110,43.9
willb002,0.373,126,43.9
reyej001,0.33,103,43.8
braur002,0.38,136,43.7
fernt001,0.333,102,43.5
oliva001,0.352,120,43.4
parrl001,0.332,105,43.4
galaa101,0.382,125,43.4
brocl102,0.336,109,43.2
manuh101,0.389,120,43.1
huntt001,0.342,110,43
kleic101,0.411,133,42.8
colle101,0.411,132,42.7
hermb102,0.41,139,42.7
bergw101,0.393,136,42.7
vizqo001,0.31,83,42.5
butlb001,0.344,115,42.2
cansj001,0.375,130,42.1
hodgg101,0.378,121,42.1
wilsh102,0.421,143,42.1
franj002,0.348,112,42
lombe101,0.376,125,41.9
vansa001,0.35,120,41.9
whitd001,0.326,98,41.8
loped001,0.336,111,41.8
walkd101,0.383,122,41.6
strad001,0.372,137,41.5
ramih003,0.364,125,41.5
crawc002,0.332,104,41.5
garcn001,0.376,124,41.5
donaj001,0.376,139,41.4
chapb102,0.379,115,41.3
combe101,0.395,127,41.3
rizzp101,0.335,96,41.3
parkd001,0.354,120,41.1
whitr101,0.347,123,41
bellj002,0.396,139,41
oneip001,0.362,120,41
bartd101,0.348,98,40.9
munst101,0.34,116,40.9
portd001,0.342,113,40.8
mattd001,0.361,124,40.7
olivt102,0.365,129,40.7
nichb101,0.387,132,40.6
willk101,0.427,137,40.6
decid001,0.342,114,40.5
justd001,0.38,130,40.4
posaj001,0.367,123,40.4
finls001,0.336,104,40.4
dyksl001,0.355,122,40.3
otisa001,0.345,115,40.2
lankr001,0.365,123,39.8
knobc001,0.352,109,39.8
concd001,0.306,88,39.7
freyl101,0.347,108,39.7
mcdog101,0.349,114,39.7
sandr002,0.357,115,39.7
tejam001,0.341,106,39.7
petrr101,0.338,108,39.4
stanm004,0.381,142,39.3
heatj101,0.403,137,39.3
goldp001,0.387,141,39.2
yorkr101,0.39,122,39.1
gaetg001,0.325,95,39
barfj001,0.353,117,39
soria001,0.348,111,38.9
clifh101,0.387,114,38.9
howaf102,0.374,140,38.7
henrt101,0.401,131,38.6
bainh001,0.358,119,38.5
ramia001,0.357,115,38.4
polap001,0.327,97,38.4
campr102,0.385,123,38.2
tulot001,0.368,119,38.2
zimmr001,0.351,116,38.2
kellg102,0.362,111,38.2
alouf101,0.337,113,38.1
judgj101,0.379,116,38
davic001,0.354,118,37.9
baked002,0.349,117,37.9
bellj001,0.337,103,37.9
wilsw001,0.315,94,37.8
garvs001,0.342,116,37.8
trayp101,0.366,107,37.8
sundj001,0.309,91,37.7
stane101,0.371,117,37.7
bottj101,0.393,124,37.7
wallt001,0.322,102,37.6
hrbek001,0.371,126,37.6
lolls101,0.346,106,37.5
cruzn002,0.37,132,37.5
bishm102,0.382,113,37.5
schor101,0.333,94,37.4
