retroID,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,throws_L,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL,wOBA,wRC+,WAR,Batting
aardd001,0.569672,0.6,2004,2015,0,0,0,0,0,1,0,0,0,331,4,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,-100,-0.1,0.000358089
aaroh101,0.42623,0.45,1954,1976,0,0,0,0,1,0,0,0,0,3298,12364,13940,2174,3771,2294,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,1,0.403,153,136.3,0.350195
aarot101,0.467213,0.6,1962,1971,1,0,0,0,0,0,0,0,0,437,944,1045,102,216,155,42,6,13,94,9,8,86,145,3,0,9,6,36,1,0.282,76,-1.7,0.157131
aased001,0.467213,0.6,1977,1990,0,0,0,0,0,1,0,0,0,448,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,-100,-0.1,0.000358089
abada001,0.442623,0.5,2001,2006,1,0,0,0,0,0,0,1,1,15,21,25,1,2,2,0,0,0,0,0,1,4,5,0,0,0,0,1,1,0.184,0,-0.4,0.0900015
abadf001,0.590164,0.5,2010,2019,0,0,0,0,0,1,0,1,1,384,9,9,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0.098,-47,0,0.0481024
abbog001,0.508197,0.75,1973,1984,0,0,0,0,0,1,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
abboj001,0.508197,0.6,1989,1999,0,0,0,0,0,1,0,1,1,263,21,24,0,2,2,0,0,0,3,0,0,0,10,0,0,3,0,0,1,0.086,-66,-0.2,0.0308603
abboj002,0.467213,0.55,1997,2001,0,0,0,0,1,0,0,0,1,233,596,649,82,157,104,33,2,18,83,6,5,38,91,2,3,5,7,12,1,0.314,83,-1.6,0.163531
abbok001,0.508197,0.65,1991,1996,0,0,0,0,0,1,0,1,1,57,31,38,2,3,2,1,0,0,2,0,0,1,19,0,0,6,0,0,1,0.12,-39,-0.1,0.055213
abbok002,0.42623,0.4,1993,2001,0,0,0,0,0,0,1,0,0,702,2044,2227,273,523,329,109,23,62,242,22,11,133,571,11,17,21,12,37,1,0.316,84,0.7,0.166495
abbop001,0.446721,0.6,1990,2004,0,0,0,0,0,1,0,0,0,162,20,25,2,5,4,1,0,0,2,0,0,0,6,0,0,5,0,0,1,0.241,35,0.1,0.121912
abera101,0.487705,0.55,1950,1957,0,0,0,0,0,1,0,1,1,168,100,117,5,14,14,0,0,0,6,0,0,8,41,0,0,8,1,2,0,0.171,-9,-0.3,0.0820024
aberb001,0.446721,0.5,2001,2005,0,1,0,0,0,0,0,0,0,232,868,955,97,212,163,36,5,8,79,21,7,60,93,1,7,16,4,15,0,0.278,66,-0.3,0.149409
aberb101,0.467213,0.35,1952,1952,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0.000449631
aberc101,0.508197,0.45,1947,1949,0,0,0,0,1,0,0,0,0,63,179,204,25,45,30,7,3,5,26,0,0,25,44,0,0,0,0,6,1,0.351,103,0,0.182948
aberr001,0.569672,0.6,2006,2008,0,0,0,0,1,0,0,0,0,180,386,421,65,86,55,20,2,9,34,18,8,21,123,2,7,5,2,3,1,0.275,61,-0.4,0.14483
abert101,0.569672,0.65,1955,1972,0,0,0,0,0,1,0,0,0,681,181,204,12,25,22,3,0,0,9,0,0,6,74,0,2,15,0,4,1,0.155,-9,-0.5,0.0818085
abert102,0.54918,0.55,1942,1944,0,0,0,0,0,1,0,0,1,7,5,6,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0.281,65,0,0.148782
aberw101,0.385246,0.45,1946,1947,0,0,0,0,0,1,0,1,1,16,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,-100,-0.1,0.000358089
abnes001,0.467213,0.5,1987,1992,0,0,0,0,1,0,0,0,0,392,840,902,89,191,137,39,4,11,71,6,8,43,153,10,7,5,7,14,1,0.263,61,-1.3,0.144011
abrac101,0.446721,0.45,1949,1956,0,0,0,0,1,0,0,1,1,567,1611,1942,257,433,318,64,19,32,138,12,18.5,304,290,2,7,16,4,22,1,0.364,116,7.9,0.201717
abrag101,0.385246,0.3,1923,1923,0,0,0,0,0,1,0,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.942,461,0.1,0.504862
abreb001,0.590164,0.45,1996,2014,0,0,0,0,1,0,0,1,0,2425,8480,10081,1453,2470,1549,574,59,288,1363,400,128,1476,1840,115,33,7,85,165,1,0.378,129,59.8,0.259975
abreb002,0.52459,0.5,2019,2019,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
abrej001,0.446721,0.45,1985,1985,0,0,0,0,0,1,0,0,0,6,9,9,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,-100,-0.1,0.000358089
abrej002,0.446721,0.45,2011,2011,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0901954
abrej003,0.733607,0.6,2014,2019,1,0,0,0,0,0,0,0,0,901,3547,3906,483,1038,627,218,14,179,611,10,5,245,776,50,80,0,34,110,0,0.363,132,17.9,0.225052
abrej101,0.344262,0.25,1942,1942,0,1,0,0,0,0,0,0,0,9,28,32,4,6,4,1,0,1,3,0,0,4,4,0,0,0,0,1,1,0.324,100,0.1,0.180323
abret001,0.508197,0.35,2007,2014,0,1,0,0,0,0,0,0,0,224,579,615,61,147,96,39,6,6,60,2,4,22,116,2,5,1,8,20,1,0.285,73,-0.2,0.155788
abrew001,0.385246,0.55,2006,2009,0,0,0,0,0,1,0,0,0,38,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-100,0,0.000449631
accaj001,0.487705,0.45,2005,2012,0,0,0,0,0,1,0,0,0,262,7,7,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.127,-22,0,0.0705651
aceva001,0.528689,0.55,2008,2014,0,0,0,0,0,1,0,0,0,204,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,0.000449631
acevj001,0.692623,0.55,1995,2003,0,0,0,0,0,1,0,0,0,367,65,74,4,6,4,2,0,0,0,0,0,3,33,0,0,6,0,2,1,0.121,-43,-0.3,0.0514437
acevj002,0.446721,0.45,2001,2005,0,0,0,0,0,1,0,0,0,104,101,120,2,8,6,2,0,0,4,0,0,5,61,0,1,12,1,2,1,0.112,-46,-0.6,0.0484739
achta001,0.569672,0.7,2014,2016,0,0,0,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
ackej001,0.54918,0.55,1983,1992,0,0,0,0,0,1,0,0,0,467,54,56,2,9,8,1,0,0,1,0,0,2,32,0,0,0,0,1,1,0.177,-4,0,0.0867652
acket101,0.569672,0.65,1956,1959,0,0,0,0,0,1,0,0,0,153,77,96,10,5,5,0,0,0,2,0,0,12,46,0,1,6,0,1,1,0.152,-20,-0.5,0.0719328
ackld001,0.528689,0.5,2011,2016,0,1,0,0,0,0,0,1,0,635,2125,2347,261,512,354,94,18,46,216,31,12,194,419,10,5,11,12,25,0,0.296,90,6.9,0.177426
acklf101,0.516393,0.5,1963,1964,0,0,0,0,0,1,0,1,0,5,6,7,0,2,1,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0.411,164,0.1,0.237838
acosc101,0.364754,0.35,1972,1975,0,0,0,0,0,1,0,0,0,107,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,-100,-0.1,0.000358089
acose101,0.569672,0.7,1970,1972,0,0,0,0,0,1,0,0,0,57,29,30,1,1,1,0,0,0,0,0,0,1,15,0,0,0,0,0,1,0.054,-67,-0.3,0.0298452
acosj101,0.237705,0.15,1920,1922,0,0,0,0,0,1,0,0,0,55,60,74,4,9,8,1,0,0,1,1,0,11,22,0,0,3,0,0,0,0.24,33,0,0.120027
acosm001,0.569672,0.65,2007,2012,0,0,0,0,0,1,0,0,0,233,6,7,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0.101,-38,0,0.0561823
acrem001,0.651639,0.85,1994,1997,0,0,0,0,0,1,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
acunr001,0.42623,0.45,2018,2019,0,0,0,0,1,0,0,0,0,267,1059,1199,205,302,181,48,6,67,165,53,14,121,311,6,15,0,4,12,1,0.376,133,9.3,0.218243
adaij101,0.405738,0.45,1958,1970,0,1,0,0,0,0,0,0,0,1165,4019,4315,378,1022,783,163,19,57,366,29,29,208,499,31,17,41,30,149,0,0.284,79,10.3,0.170593
adaij102,0.319672,0.35,1931,1931,0,0,0,0,0,0,1,0,0,18,76,79,9,21,17,3,1,0,3,1,0.5,1,8,0,0,2,0,0,1,0.288,65,0,0.14879
adama001,0.528689,0.4,2014,2019,0,0,0,0,0,1,0,0,0,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-100,0,0.000449631
adama002,0.610656,0.6,2017,2019,0,0,0,0,0,1,0,0,0,38,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-100,0,0.000449631
adama101,0.434426,0.35,1941,1946,0,0,0,0,0,1,0,0,0,302,99,113,9,12,12,0,0,0,2,0,0,6,14,0,0,8,0,2,1,0.15,-19,-0.6,0.0727405
adamb101,0.42623,0.45,1939,1947,0,0,0,0,1,0,0,0,0,576,2003,2292,282,532,374,96,12,50,249,12,6,234,281,0,13,42,0,35,1,0.356,110,9,0.197312
adamb102,0.364754,0.45,1931,1932,0,0,0,0,0,1,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,-0.1,0.000358089
adamb103,0.344262,0.35,1946,1959,0,0,1,0,0,0,0,0,0,1281,4019,4533,591,1082,808,188,49,37,303,67,51,414,447,1,17,78,5,62,1,0.33,90,11.5,0.181583
adamb104,0.446721,0.4,1906,1926,0,0,0,0,0,1,0,1,0,208,406,442,29,88,67,13,6,2,29,1,1,21,65,0,0,15,0,0,1,0.258,44,0.8,0.130632
adamb105,0.508197,0.55,1977,1977,1,0,0,0,0,0,0,0,0,15,24,24,2,6,3,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0.34,106,0,0.185633
adamb106,0.446721,0.5,1910,1919,1,0,0,0,0,0,0,0,0,78,232,241,14,54,44,7,2,1,17,4,2,6,27,0,0,3,0,0,1,0.259,51,-0.3,0.135928
adamb107,0.377049,0.4,1925,1925,0,0,0,0,0,1,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,67,0,0.150605
adamc001,0.446721,0.45,2014,2019,0,1,0,0,0,0,0,0,0,176,328,367,32,70,55,9,4,2,22,2,4,30,77,1,5,4,0,6,1,0.258,42,-1.5,0.126774
adamc002,0.610656,0.5,2018,2019,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
adamd001,0.528689,0.55,2013,2013,1,0,0,0,0,0,0,0,0,43,140,152,10,27,19,5,1,2,13,0,0,9,43,0,2,1,0,4,0,0.243,46,-0.1,0.131607
adamd101,0.446721,0.6,1969,1969,0,0,0,1,0,0,0,1,0,8,14,15,1,3,3,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0.23,37,-0.1,0.123519
adamd102,0.446721,0.45,1947,1947,1,0,0,0,0,0,0,0,1,37,89,93,9,18,11,2,3,2,11,0,0,2,18,0,0,2,0,0,0,0.262,49,-0.2,0.134227
adamg101,0.42623,0.5,1975,1982,0,0,0,0,1,0,0,1,0,661,1617,1760,152,452,334,79,5,34,225,6,10,111,183,8,4,9,19,47,1,0.323,96,-1.3,0.175474
adamh101,0.344262,0.3,1948,1950,0,0,0,0,1,0,0,1,1,95,337,364,39,88,74,8,6,0,18,4,2,22,24,0,2,3,0,5,0,0.298,66,-0.3,0.149425
adamj001,0.446721,0.65,1996,1998,0,0,0,0,0,1,0,1,1,44,10,11,0,3,2,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0.305,93,0.1,0.174023
adamj002,0.610656,0.65,2018,2019,0,0,0,0,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
adaml001,0.590164,0.65,2014,2018,0,0,0,0,1,0,0,0,0,117,137,154,30,36,23,5,1,7,26,11,0,14,47,0,1,1,1,4,1,0.342,109,0.9,0.189133
adamm001,0.54918,0.7,2004,2014,0,0,0,0,0,1,0,0,0,410,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,0,0.000449631
adamm002,0.692623,0.6,2012,2019,1,0,0,0,0,0,0,1,0,818,2336,2523,290,609,360,127,6,116,388,4,4,159,616,16,12,0,16,45,1,0.331,107,5.3,0.191279
adamm101,0.446721,0.55,1967,1969,0,0,0,0,0,1,0,0,0,11,6,7,1,2,1,0,1,0,1,0,0,0,4,0,0,1,0,0,0,0.434,150,0.1,0.225295
adamm102,0.42623,0.3,1972,1978,0,0,0,0,1,0,0,0,0,100,118,152,27,23,15,5,0,3,9,2,1,32,29,0,2,0,0,2,1,0.336,106,0.1,0.185719
adamr001,0.42623,0.55,1982,1985,0,0,0,0,0,0,1,0,0,120,247,269,35,53,43,5,1,4,16,3,2,10,37,3,5,7,0,5,1,0.247,51,0.4,0.136548
adamr002,0.528689,0.45,2004,2009,0,0,0,0,0,0,1,1,0,286,884,993,125,218,148,46,7,17,113,15,5,85,118,2,5,8,11,14,0,0.302,78,-0.7,0.15984
adamr003,0.446721,0.4,2011,2011,0,1,0,0,0,0,0,0,0,29,89,96,9,25,21,4,0,0,7,0,0,6,25,0,1,0,0,7,0,0.299,82,-0.5,0.163606
adamr101,0.446721,0.45,1946,1946,0,0,0,0,0,1,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,0,0.000449631
adams101,0.307377,0.1,1922,1934,0,0,0,0,0,0,1,0,0,1424,5557,6174,844,1588,1282,249,48,9,394,154,96,453,223,0,28,136,0,14,1,0.328,85,18.7,0.183557
adams102,0.336066,0.3,1923,1927,0,1,0,0,0,0,0,1,0,180,395,447,61,101,80,16,5,0,38,5,10,38,50,0,2,12,0,0,1,0.309,67,-1.2,0.149525
adamt001,0.42623,0.6,1995,2005,0,0,0,0,0,1,0,0,0,574,78,98,2,4,3,1,0,0,2,0,0,7,41,0,0,12,1,1,1,0.103,-45,-0.5,0.049454
adamw001,0.569672,0.8,1996,1997,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
adamw002,0.528689,0.45,2018,2019,0,0,0,0,0,0,1,0,0,237,819,907,112,215,152,32,1,30,86,10,7,77,248,4,4,4,3,15,0,0.318,102,4.2,0.185792
adamw101,0.42623,0.65,1912,1919,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,0.000449631
adcoj101,0.54918,0.65,1950,1966,1,0,0,0,0,0,0,0,0,1959,6606,7304,823,1832,1166,295,35,336,1122,20,26,594,1059,55,17,52,35,223,1,0.362,123,34.2,0.231603
adcon001,0.651639,0.65,2011,2015,0,0,0,0,0,1,0,0,0,56,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-100,0,0.000449631
addib101,0.405738,0.45,1950,1953,0,0,0,0,1,0,0,1,0,208,534,576,70,150,124,22,2,2,47,8,6.5,37,47,0,0,5,0,9,1,0.314,83,0.3,0.165235
adduj001,0.508197,0.7,1983,1989,1,0,0,0,0,0,0,1,1,70,144,150,11,34,24,8,1,1,15,0,1,2,27,0,0,1,3,1,1,0.251,53,-0.6,0.137447
adduj002,0.54918,0.55,2013,2019,0,0,0,0,1,0,0,1,1,151,396,431,48,92,65,18,4,5,39,7,2,29,111,0,0,3,3,5,1,0.272,66,-0.5,0.149224
adenn001,0.446721,0.6,2008,2009,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
aderm101,0.459016,0.5,1939,1945,0,1,0,0,0,0,0,1,0,106,262,281,36,70,57,7,3,3,32,3,2.5,19,29,0,0,0,0,1,1,0.318,84,-0.1,0.165779
adkid101,0.364754,0.35,1942,1942,0,0,0,0,0,0,1,0,0,3,7,9,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.268,55,0,0.139797
adkid103,0.487705,0.55,1942,1949,0,0,0,0,0,1,0,0,0,38,22,23,2,5,3,1,0,1,3,0,0,0,10,0,0,1,0,0,1,0.286,66,0.1,0.149775
adkig101,0.405738,0.4,1928,1929,0,0,0,0,0,1,0,0,0,76,116,133,9,21,15,3,3,0,6,1,0,6,26,0,1,10,0,0,0,0.227,21,0,0.109247
adkij001,0.508197,0.45,2003,2008,0,0,0,0,0,1,0,1,0,119,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-100,0,0.000449631
adkis001,0.54918,0.75,1990,1990,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901954
adled101,0.454918,0.45,1963,1968,0,0,0,1,0,0,0,0,0,106,256,279,9,43,38,3,1,1,11,0,0,18,80,5,2,2,1,9,1,0.194,26,-1.3,0.112537
adlet001,0.610656,0.7,2016,2017,0,0,0,0,0,1,0,0,0,43,50,55,2,7,4,3,0,0,5,0,0,0,21,0,0,5,0,0,1,0.145,-23,0,0.0696847
adrie001,0.487705,0.5,2013,2019,0,0,0,0,0,0,1,0,0,422,990,1117,133,246,167,56,7,16,111,17,8,83,207,5,15,16,13,11,1,0.295,84,2.5,0.168092
afent001,0.446721,0.65,1987,1992,0,0,0,1,0,0,0,0,0,45,79,86,4,15,11,2,2,0,7,0,0,5,32,0,0,1,1,1,1,0.228,38,-0.3,0.124235
affej001,0.610656,0.65,2002,2015,0,0,0,0,0,1,0,1,1,774,17,19,0,3,3,0,0,0,2,0,0,2,6,0,0,0,0,0,1,0.215,31,0.1,0.118299
agbab001,0.610656,0.45,1998,2002,0,0,0,0,1,0,0,0,0,383,1091,1254,145,299,197,57,6,39,156,16,16,139,246,7,15,1,8,31,1,0.352,109,2.6,0.190668
ageet101,0.487705,0.4,1962,1973,0,0,0,0,1,0,0,0,0,1129,3912,4324,558,999,672,170,27,130,433,167,81,342,918,26,34,21,15,99,1,0.329,110,25.9,0.212457
