,retroID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
0,aardd001,331,4,0,0,0,0,0,0,0,0.0,0,2,0.0,0,1,0.0,0.0,1
1,aaroh101,3298,12364,2174,3771,624,98,755,2297,240,73.0,1402,1383,293.0,32,21,121.0,328.0,1
2,aarot101,437,944,102,216,42,6,13,94,9,8.0,86,145,3.0,0,9,6.0,36.0,1
3,aased001,448,5,0,0,0,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,1
4,abada001,15,21,1,2,0,0,0,0,0,1.0,4,5,0.0,0,0,0.0,1.0,1
5,abadf001,363,9,0,1,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,1.0,1
6,abbog001,248,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
7,abboj001,263,21,0,2,0,0,0,3,0,0.0,0,10,0.0,0,3,0.0,0.0,1
8,abboj002,233,596,82,157,33,2,18,83,6,5.0,38,91,2.0,3,5,7.0,12.0,1
9,abbok001,57,31,2,3,1,0,0,2,0,0.0,1,19,0.0,0,6,0.0,0.0,1
10,abbok002,702,2044,273,523,109,23,62,242,22,11.0,133,571,11.0,17,21,12.0,37.0,1
11,abbop001,162,20,2,5,1,0,0,2,0,0.0,0,6,0.0,0,5,0.0,0.0,1
12,abera101,168,100,5,14,0,0,0,6,0,0.0,8,41,0.0,0,8,1.0,2.0,0
13,aberb001,232,868,97,212,36,5,8,79,21,7.0,60,93,1.0,7,16,4.0,15.0,0
14,aberb101,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
15,aberc101,63,179,25,45,7,3,5,26,0,0.0,25,44,0.0,0,0,0.0,6.0,1
16,aberr001,180,386,65,86,20,2,9,34,18,8.0,21,123,2.0,7,5,2.0,3.0,1
17,abert101,681,181,12,25,3,0,0,9,0,0.0,6,74,0.0,2,15,0.0,4.0,1
18,abert102,7,5,0,1,0,0,0,0,0,0.0,1,3,0.0,0,0,0.0,0.0,0
19,aberw101,16,8,0,0,0,0,0,0,0,0.0,0,4,0.0,0,0,0.0,0.0,1
