retroID,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
aardd001,331,4,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
aaroh101,3298,12364,13940,2174,3771,2294,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,1
aarot101,437,944,1045,102,216,155,42,6,13,94,9,8,86,145,3,0,9,6,36,1
aased001,448,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
abada001,15,21,25,1,2,2,0,0,0,0,0,1,4,5,0,0,0,0,1,1
abadf001,384,9,9,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1
abbog001,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abboj001,263,21,24,0,2,2,0,0,0,3,0,0,0,10,0,0,3,0,0,1
abboj002,233,596,649,82,157,104,33,2,18,83,6,5,38,91,2,3,5,7,12,1
abbok001,57,31,38,2,3,2,1,0,0,2,0,0,1,19,0,0,6,0,0,1
abbok002,702,2044,2227,273,523,329,109,23,62,242,22,11,133,571,11,17,21,12,37,1
abbop001,162,20,25,2,5,4,1,0,0,2,0,0,0,6,0,0,5,0,0,1
abera101,168,100,117,5,14,14,0,0,0,6,0,0,8,41,0,0,8,1,2,0
aberb001,232,868,955,97,212,163,36,5,8,79,21,7,60,93,1,7,16,4,15,0
aberb101,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aberc101,63,179,204,25,45,30,7,3,5,26,0,0,25,44,0,0,0,0,6,1
aberr001,180,386,421,65,86,55,20,2,9,34,18,8,21,123,2,7,5,2,3,1
abert101,681,181,204,12,25,22,3,0,0,9,0,0,6,74,0,2,15,0,4,1
abert102,7,5,6,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
aberw101,16,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
abnes001,392,840,902,89,191,137,39,4,11,71,6,8,43,153,10,7,5,7,14,1
abrac101,567,1611,1942,257,433,318,64,19,32,138,12,18.5,304,290,2,7,16,4,22,1
abrag101,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abreb001,2425,8480,10081,1453,2470,1549,574,59,288,1363,400,128,1476,1840,115,33,7,85,165,1
abreb002,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrej001,6,9,9,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1
abrej002,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abrej003,901,3547,3906,483,1038,627,218,14,179,611,10,5,245,776,50,80,0,34,110,0
abrej101,9,28,32,4,6,4,1,0,1,3,0,0,4,4,0,0,0,0,1,1
abret001,224,579,615,61,147,96,39,6,6,60,2,4,22,116,2,5,1,8,20,1
abrew001,38,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
accaj001,262,7,7,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
aceva001,204,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
acevj001,367,65,74,4,6,4,2,0,0,0,0,0,3,33,0,0,6,0,2,1
acevj002,104,101,120,2,8,6,2,0,0,4,0,0,5,61,0,1,12,1,2,1
