retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB_A,CS_A,ZR,weight,height,debutYear,finalYear,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
adamb105,1,27,6,0,0,0,0,0,1,0,0,0.508197,0.55,1977,1977,0,1,0,1,15,24,24,2,6,3,1,0,2,2,0,0,0,5,0,0,0,0,0,0
adamb106,0,0,249,90,12,15,7,0,0,0,0,0.446721,0.5,1910,1919,0,0,0,1,78,232,241,14,54,44,7,2,1,17,4,2,6,27,0,0,3,0,0,1
adamd101,3,78,9,2,0,0,1,0,0,0,0,0.446721,0.6,1969,1969,1,0,0,1,8,14,15,1,3,3,0,0,0,1,0,0,1,3,0,0,0,0,1,0
adled101,65,1840,453,26,4,2,8,19,37,16,0,0.454918,0.45,1963,1968,0,1,0,1,106,256,279,9,43,38,3,1,1,11,0,0,18,80,5,2,2,1,9,1
afent001,20,613,123,5,1,3,6,0,17,3,0,0.446721,0.65,1987,1992,0,1,0,1,45,79,86,4,15,11,2,2,0,7,0,0,5,32,0,0,1,1,1,1
agnes101,0,0,141,48,5,5,2,0,0,0,0,0.446721,0.4,1913,1919,0,1,0,1,42,98,118,6,23,16,7,0,0,10,1,0.5,10,8,0,1,9,0,0,0
ainse101,0,0,1528,361,72,31,34,0,0,0,0,0.42623,0.4,1910,1924,0,1,0,1,458,1367,1539,140,359,259,52,28,20,163,20,11.5,125,122,0,3,44,0,0,1
alexg101,205,5481,1008,100,35,8,24,0,212,67,0,0.487705,0.55,1975,1981,0,1,0,1,432,1276,1458,169,293,182,45,11,55,202,8,12,154,381,12,5,4,19,34,1
alfaj002,130,3430,1135,71,13,9,14,0,72,26,0,0.610656,0.55,2016,2018,0,1,0,1,143,467,508,47,126,87,22,2,15,51,3,0,22,179,8,18,0,1,4,1
alfoe002,150,4035,1059,76,17,10,7,0,93,39,0,0.590164,0.4,2006,2011,0,1,0,1,193,591,624,44,142,98,24,3,17,67,1,2,17,158,9,9,4,3,17,1
allaa001,453,11965,2395,208,52,24,41,0,292,129,0,0.590164,0.7,1986,1995,0,1,0,1,512,1486,1633,145,357,289,48,4,16,140,23,18,87,223,4,9,35,16,27,1
alleg001,342,8959,1762,146,32,24,27,0,233,110,0,0.446721,0.4,1979,1985,0,1,0,1,416,1061,1222,114,235,165,49,2,19,131,3,7,130,192,3,5,15,11,35,0
alleh104,0,3,0,0,0,0,0,0,0,0,0,0.467213,0.45,1966,1973,0,1,0,1,389,881,938,104,212,170,27,9,6,57,15,9,49,128,5,2,2,4,30,0
allen101,0,0,143,49,8,7,4,0,0,0,0,0.42623,0.45,1914,1920,0,1,0,1,58,110,127,17,31,26,3,2,0,9,0,0,8,17,0,4,5,0,0,1
allib101,13,366,92,6,0,0,1,0,12,4,0,0.467213,0.45,1975,1975,0,1,0,1,21,45,47,4,8,6,1,0,1,2,0,0,1,6,1,0,1,0,1,0
almob001,0,3,0,0,0,0,0,0,0,0,0,0.42623,0.6,1974,1988,0,1,0,1,1236,3330,3659,390,846,647,138,25,36,296,128,60,250,636,24,6,44,29,53,1
aloms001,1203,31914,7667,464,86,72,71,0,758,328,0,0.508197,0.7,1988,2007,0,1,0,1,1377,4530,4865,520,1236,865,249,10,112,588,25,24,212,499,15,41,48,34,132,1
alvac001,1,24,10,0,0,0,0,0,2,0,0,0.42623,0.4,2000,2000,0,1,0,1,2,5,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
andeb005,15,403,108,8,3,0,0,0,10,1,0,0.508197,0.5,2010,2015,1,0,0,1,40,68,77,4,15,11,4,0,0,7,1,0,4,19,0,2,1,2,1,1
andef102,0,0,290,39,11,5,10,0,0,0,0,0.508197,0.5,1946,1953,0,1,0,1,97,234,263,20,61,47,12,0,2,15,1,0.5,18,25,0,4,7,0,6,1
andej001,1,47,8,1,0,0,1,0,4,0,0,0.385246,0.45,1978,1984,0,1,0,1,419,970,1091,107,211,161,35,2,13,86,9,13,81,130,2,5,29,6,23,0
andrs101,0,0,154,26,12,2,6,0,0,0,0,0.418033,0.4,1939,1945,0,1,0,1,70,149,158,11,32,28,2,1,1,12,2,1,8,16,0,1,0,0,3,1
anglt101,0,0,23,7,1,0,3,0,0,0,0,0.467213,0.25,1929,1929,1,0,0,1,5,16,21,1,4,3,1,0,0,6,0,0,2,2,0,0,3,0,0,1
