retroID,POS,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
adamb106,C,0,0,249,90,12,15,7,0,0,0,0
adamb105,C,1,27,6,0,0,0,0,0,1,0,0
adamd101,C,3,78,9,2,0,0,1,0,0,0,0
adled101,C,24,674,179,8,1,1,3,3,11,5,0
adled101,C,2,63,11,2,0,0,0,2,2,2,0
adled101,C,0,21,11,0,0,0,0,0,0,0,0
adled101,C,0,46,8,0,1,0,1,1,1,0,0
adled101,C,29,790,193,11,2,0,3,10,19,6,0
adled101,C,10,246,51,5,0,1,1,3,4,3,0
afent001,C,10,278,57,2,0,1,1,0,5,1,0
afent001,C,5,154,35,2,1,1,3,0,11,1,0
afent001,C,2,99,13,0,0,0,2,0,0,1,0
afent001,C,3,82,18,1,0,1,0,0,1,0,0
agnes101,C,0,0,141,48,5,5,2,0,0,0,0
ainse101,C,0,0,70,17,4,2,4,0,0,0,0
ainse101,C,0,0,219,55,13,4,7,0,0,0,0
ainse101,C,0,0,235,57,6,3,7,0,0,0,0
ainse101,C,0,0,16,1,0,1,0,0,0,0,0
ainse101,C,0,0,99,25,7,0,2,0,0,0,0
ainse101,C,0,0,428,99,20,14,5,0,0,0,0
ainse101,C,0,0,5,0,0,0,0,0,0,0,0
ainse101,C,0,0,456,107,22,7,9,0,0,0,0
alexg101,C,0,3,0,0,0,0,0,0,0,0,0
alexg101,C,86,2297,404,40,18,5,13,0,80,25,0
alexg101,C,30,805,174,8,6,0,2,0,46,7,0
alexg101,C,22,591,92,16,4,0,3,0,30,6,0
alexg101,C,4,156,31,2,1,0,0,0,7,2,0
alexg101,C,62,1605,305,34,6,3,6,0,45,27,0
alexg101,C,1,24,2,0,0,0,0,0,4,0,0
alfaj002,C,28,730,220,12,2,3,3,0,13,4,0
alfaj002,C,4,93,27,0,0,0,1,0,0,1,0
alfaj002,C,98,2607,888,59,11,6,10,0,59,21,0
alfoe002,C,12,366,97,7,3,0,1,0,11,5,0
alfoe002,C,28,766,203,23,1,5,3,0,15,9,0
alfoe002,C,80,2101,567,31,5,3,1,0,52,18,0
alfoe002,C,2,51,10,1,1,0,0,0,3,0,0
alfoe002,C,18,478,128,12,5,2,2,0,10,5,0
alfoe002,C,10,273,54,2,2,0,0,0,2,2,0
allaa001,C,131,3455,691,60,11,11,8,0,76,41,0
allaa001,C,47,1242,252,22,4,3,3,0,24,9,0
allaa001,C,25,658,164,15,1,1,3,0,23,10,0
allaa001,C,44,1190,212,22,5,1,3,0,20,16,0
allaa001,C,91,2378,446,33,20,4,12,0,64,22,0
allaa001,C,4,137,30,0,0,0,0,0,2,1,0
allaa001,C,103,2707,570,53,9,4,12,0,76,30,0
allaa001,C,8,198,30,3,2,0,0,0,7,0,0
alleg001,C,82,2136,407,40,9,3,13,0,55,28,0
alleg001,C,11,271,39,2,0,0,0,0,3,2,0
alleg001,C,86,2230,454,39,4,8,6,0,41,32,0
alleg001,C,41,1139,235,18,8,3,4,0,37,10,0
alleg001,C,19,500,99,6,2,0,0,0,11,4,0
alleg001,C,27,691,135,12,2,4,1,0,22,9,0
alleg001,C,76,1992,393,29,7,6,3,0,64,25,0
alleh104,C,0,3,0,0,0,0,0,0,0,0,0
allen101,C,0,0,107,39,6,5,2,0,0,0,0
allen101,C,0,0,36,10,2,2,2,0,0,0,0
allib101,C,13,366,92,6,0,0,1,0,12,4,0
almob001,C,0,3,0,0,0,0,0,0,0,0,0
aloms001,C,46,1131,278,15,3,2,4,0,27,18,0
aloms001,C,63,1635,367,19,4,5,5,0,31,14,0
aloms001,C,57,1533,371,16,1,3,3,0,20,6,0
aloms001,C,46,1212,293,14,2,3,2,0,36,10,0
aloms001,C,34,947,231,6,2,0,3,0,17,0,0
aloms001,C,30,818,190,8,0,1,3,0,13,5,0
aloms001,C,106,2790,712,42,6,7,4,0,67,28,0
aloms001,C,4,123,33,1,0,1,0,0,2,0,0
aloms001,C,93,2450,661,42,8,6,6,0,75,23,0
aloms001,C,35,888,257,10,7,2,1,0,27,4,0
aloms001,C,14,378,96,4,1,1,0,0,8,4,0
aloms001,C,55,1560,342,25,6,4,3,0,41,16,0
aloms001,C,54,1400,364,22,2,3,4,0,36,14,0
aloms001,C,115,3015,743,40,12,8,3,0,84,38,0
aloms001,C,111,2976,724,48,9,5,7,0,76,35,0
aloms001,C,4,123,29,5,0,0,0,0,0,3,0
aloms001,C,45,1186,280,19,4,4,5,0,21,12,0
aloms001,C,78,2057,453,41,2,4,3,0,43,22,0
aloms001,C,118,3157,686,46,14,6,11,0,77,40,0
aloms001,C,84,2189,477,39,2,6,3,0,43,35,0
aloms001,C,11,346,80,2,1,1,1,0,14,1,0
alvac001,C,1,24,10,0,0,0,0,0,2,0,0
andeb005,C,2,51,10,2,1,0,0,0,2,0,0
andeb005,C,6,165,40,4,1,0,0,0,5,1,0
andeb005,C,1,24,9,0,0,0,0,0,0,0,0
andeb005,C,6,163,49,2,1,0,0,0,3,0,0
andef102,C,0,0,258,35,11,5,9,0,0,0,0
andef102,C,0,0,32,4,0,0,1,0,0,0,0
andej001,C,0,3,1,0,0,0,0,0,0,0,0
andej001,C,0,9,1,1,0,0,0,0,0,0,0
andej001,C,1,35,6,0,0,0,1,0,4,0,0
andrs101,C,0,0,29,5,2,0,1,0,0,0,0
andrs101,C,0,0,10,1,0,0,1,0,0,0,0
andrs101,C,0,0,59,14,4,2,0,0,0,0,0
andrs101,C,0,0,22,2,4,0,2,0,0,0,0
andrs101,C,0,0,34,4,2,0,2,0,0,0,0
anglt101,C,0,0,23,7,1,0,3,0,0,0,0
antoj102,C,0,0,9,1,0,1,0,0,0,0,0
arcif001,C,25,663,190,15,2,1,1,0,9,5,0
ardod001,C,4,105,35,1,0,0,1,0,1,0,0
ardod001,C,33,865,204,15,3,1,1,0,20,7,0
ardod001,C,17,436,126,11,1,4,2,0,10,3,0
ardod001,C,2,75,21,2,1,0,1,0,4,0,0
ardod001,C,66,1773,452,48,6,5,6,0,23,22,0
ardod001,C,10,291,80,8,1,0,3,0,4,5,0
arenj001,C,21,547,160,7,2,1,3,0,9,3,0
arenj001,C,7,189,48,3,0,0,1,0,3,2,0
arenj001,C,91,2400,622,57,4,1,9,0,53,22,0
arenj001,C,18,459,148,12,1,0,1,0,14,7,0
arenj001,C,118,3179,822,72,6,4,12,0,87,28,0
arenj001,C,115,3176,891,49,11,6,13,0,62,21,0
armsg101,C,0,0,4,1,0,1,0,0,0,0,0
arnoc101,C,4,108,16,1,1,0,4,0,4,0,0
asbjc101,C,0,0,45,4,2,2,1,0,0,0,0
asbjc101,C,0,0,82,24,2,2,3,0,0,0,0
asbjc101,C,0,0,8,3,1,0,0,0,0,0,0
asbjc101,C,0,0,21,5,3,1,1,0,0,0,0
ashba001,C,80,2084,399,38,6,6,7,0,50,32,0
ashba001,C,8,216,45,0,1,0,1,0,3,1,0
ashba001,C,75,2010,475,51,7,7,3,0,82,39,0
ashba001,C,53,1430,303,42,5,3,15,0,64,26,0
ashba001,C,90,2387,530,55,14,5,10,0,108,26,0
ashba001,C,104,2675,548,57,8,5,9,0,71,31,0
ashba001,C,105,2713,778,46,6,6,6,0,121,30,0
ashba001,C,60,1639,414,23,4,4,1,0,82,15,0
ashba001,C,55,1414,312,37,8,1,14,0,58,21,0
ashba001,C,104,2734,608,60,6,10,14,0,91,27,0
ashba001,C,74,2016,434,58,9,6,3,0,62,41,0
ashba001,C,120,3224,619,71,11,11,6,0,64,59,0
ashba001,C,0,60,12,0,0,0,1,0,0,0,0
ashba001,C,78,2090,435,56,13,2,9,0,85,29,0
ashba001,C,86,2262,632,43,10,2,7,0,92,28,0
ashba001,C,82,2135,441,43,5,6,6,0,64,36,0
ashba001,C,17,452,101,4,0,0,1,0,15,4,0
ashft001,C,0,3,1,0,0,0,0,0,0,0,0
ashln001,C,5,124,41,3,0,0,0,0,2,1,0
astrj101,C,0,0,7,1,1,0,0,0,0,0,0
astrj101,C,0,0,228,18,2,2,7,0,0,0,0
astrj101,C,92,2454,420,50,5,9,11,16,21,21,8
astrj101,C,64,1749,300,39,4,5,4,19,23,16,5
astrj101,C,0,0,341,47,5,13,7,0,0,0,0
astrj101,C,0,0,163,24,4,4,2,0,0,0,0
astrj101,C,0,0,436,36,4,9,7,0,0,0,0
