retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
adamb105,1,27,6,0,0,0,0,0,1,0,0
adamb106,0,0,249,90,12,15,7,0,0,0,0
adamd101,3,78,9,2,0,0,1,0,0,0,0
adled101,65,1840,453,26,4,2,8,19,37,16,0
afent001,20,613,123,5,1,3,6,0,17,3,0
agnes101,0,0,141,48,5,5,2,0,0,0,0
ainse101,0,0,1528,361,72,31,34,0,0,0,0
alexg101,205,5481,1008,100,35,8,24,0,212,67,0
alfaj002,130,3430,1135,71,13,9,14,0,72,26,0
alfoe002,150,4035,1059,76,17,10,7,0,93,39,0
allaa001,453,11965,2395,208,52,24,41,0,292,129,0
alleg001,342,8959,1762,146,32,24,27,0,233,110,0
alleh104,0,3,0,0,0,0,0,0,0,0,0
allen101,0,0,143,49,8,7,4,0,0,0,0
allib101,13,366,92,6,0,0,1,0,12,4,0
almob001,0,3,0,0,0,0,0,0,0,0,0
aloms001,1203,31914,7667,464,86,72,71,0,758,328,0
alvac001,1,24,10,0,0,0,0,0,2,0,0
andeb005,15,403,108,8,3,0,0,0,10,1,0
andef102,0,0,290,39,11,5,10,0,0,0,0
andej001,1,47,8,1,0,0,1,0,4,0,0
andrs101,0,0,154,26,12,2,6,0,0,0,0
anglt101,0,0,23,7,1,0,3,0,0,0,0
antoj102,0,0,9,1,0,1,0,0,0,0,0
arcif001,25,663,190,15,2,1,1,0,9,5,0
ardod001,132,3545,918,85,12,10,14,0,62,37,0
arenj001,370,9950,2691,200,24,12,39,0,228,83,0
armsg101,0,0,4,1,0,1,0,0,0,0,0
arnoc101,4,108,16,1,1,0,4,0,4,0,0
asbjc101,0,0,156,36,8,5,5,0,0,0,0
ashba001,1191,31541,7086,684,113,74,113,0,1112,445,0
ashft001,0,3,1,0,0,0,0,0,0,0,0
ashln001,5,124,41,3,0,0,0,0,2,1,0
astrj101,161,4329,2057,233,31,46,42,37,46,39,13
astuw001,14,393,114,7,1,0,0,0,6,3,0
atwet101,156,4065,1499,156,34,12,30,17,55,26,0
atwob101,0,0,1069,171,33,24,24,0,0,0,0
auldt101,0,0,7,0,0,0,0,0,0,0,0
ausmb001,1766,47522,12839,956,79,130,61,0,894,480,0
austj101,0,0,0,0,0,0,0,0,0,0,0
autrc102,0,0,268,60,12,6,7,0,0,0,0
avere102,163,4514,1118,88,19,10,28,51,101,41,5
avila001,772,20340,5886,363,32,53,53,0,467,193,0
aylwd101,0,0,4,0,0,0,0,0,0,0,0
ayraj001,0,58,14,0,0,0,0,0,0,0,0
azcuj101,773,20781,5329,452,44,67,117,211,243,201,26
baile101,983,26194,5267,450,80,57,48,187,293,195,34
bailm001,271,7377,1722,152,32,13,39,0,263,109,0
bakeb101,0,0,601,83,12,10,11,0,0,0,0
