retroID,GS,InnOuts,PO,A,E,DP,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,bats_R,throws_L,throws_R,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,1B,GIDP,NL
aaroh101,2977,78414,7436,429,144,218,0.42623,0.45,1954,1976,0,0,0,0,1,0,0,0,1,0,1,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,2294,328,1
aarot101,206,6472,1317,113,22,124,0.467213,0.6,1962,1971,1,0,0,0,0,0,0,0,1,0,1,437,944,102,216,42,6,13,94,9,8,86,145,3,0,9,6,155,36,1
abada001,4,138,37,1,1,3,0.442623,0.5,2001,2006,1,0,0,0,0,0,0,1,0,1,0,15,21,1,2,0,0,0,0,0,1,4,5,0,0,0,0,2,1,1
abboj002,140,3688,299,2,8,0,0.467213,0.55,1997,2001,0,0,0,0,1,0,0,0,1,1,0,233,596,82,157,33,2,18,83,6,5,38,91,2,3,5,7,104,12,1
abbok002,504,13474,938,1262,79,275,0.42623,0.4,1993,2001,0,0,0,0,0,0,1,0,1,0,1,702,2044,273,523,109,23,62,242,22,11,133,571,11,17,21,12,329,37,1
aberb001,217,5782,445,590,22,154,0.446721,0.5,2001,2005,0,1,0,0,0,0,0,0,1,0,1,232,868,97,212,36,5,8,79,21,7,60,93,1,7,16,4,163,15,0
aberc101,0,0,76,8,8,2,0.508197,0.45,1947,1949,0,0,0,0,1,0,0,0,1,0,1,63,179,25,45,7,3,5,26,0,0,25,44,0,0,0,0,30,6,1
aberr001,96,2624,272,7,6,2,0.569672,0.6,2006,2008,0,0,0,0,1,0,0,0,1,0,1,180,386,65,86,20,2,9,34,18,8,21,123,2,7,5,2,55,3,1
abnes001,199,5979,566,10,4,3,0.467213,0.5,1987,1992,0,0,0,0,1,0,0,0,1,0,1,392,840,89,191,39,4,11,71,6,8,43,153,10,7,5,7,137,14,1
abrac101,208,5500,850,33,21,7,0.446721,0.45,1949,1956,0,0,0,0,1,0,0,1,0,1,0,567,1611,257,433,64,19,32,138,12,18.5,304,290,2,7,16,4,318,22,1
abreb001,2088,54870,3952,136,73,24,0.590164,0.45,1996,2014,0,0,0,0,1,0,0,1,0,0,1,2425,8480,1453,2470,574,59,288,1363,400,128,1476,1840,115,33,7,85,1549,165,1
abrej003,628,16580,5203,364,43,547,0.733607,0.6,2014,2018,1,0,0,0,0,0,0,0,1,0,1,742,2913,398,858,180,13,146,488,8,3,209,624,46,67,0,24,519,86,0
abrej101,0,0,9,15,1,1,0.344262,0.25,1942,1942,0,1,0,0,0,0,0,0,1,0,1,9,28,4,6,1,0,1,3,0,0,4,4,0,0,0,0,4,1,1
abret001,120,3375,164,327,19,66,0.508197,0.35,2007,2014,0,1,0,0,0,0,0,0,0,0,1,224,579,61,147,39,6,6,60,2,4,22,116,2,5,1,8,96,20,1
ackld001,545,14709,1144,805,18,190,0.528689,0.5,2011,2016,0,1,0,0,0,0,0,1,0,0,1,635,2125,261,512,94,18,46,216,31,12,194,419,10,5,11,12,354,25,0
acunr001,107,2808,184,3,5,0,0.42623,0.45,2018,2018,0,0,0,0,1,0,0,0,1,0,1,111,433,78,127,26,4,26,64,16,5,45,123,2,6,0,3,71,4,1
adaij101,1053,28316,2380,2878,103,618,0.405738,0.45,1958,1970,0,1,0,0,0,0,0,0,1,0,1,1165,4019,378,1022,163,19,57,366,29,29,208,499,31,17,41,30,783,149,0
adaij102,0,0,37,55,5,9,0.319672,0.35,1931,1931,0,0,0,0,0,0,1,0,1,0,1,18,76,9,21,3,1,0,3,1,0.5,1,8,0,0,2,0,17,0,1
adamb101,0,0,1339,35,29,8,0.42623,0.45,1939,1947,0,0,0,0,1,0,0,0,1,0,1,576,2003,282,532,96,12,50,249,12,6,234,281,0,13,42,0,374,35,1
adamb103,234,6022,1748,2262,158,371,0.344262,0.35,1946,1959,0,0,1,0,0,0,0,0,1,0,1,1281,4019,591,1082,188,49,37,303,67,51,414,447,1,17,78,5,808,62,1
adamb105,2,54,20,1,0,1,0.508197,0.55,1977,1977,1,0,0,0,0,0,0,0,1,0,1,15,24,2,6,1,0,2,2,0,0,0,5,0,0,0,0,3,0,0
adamb106,0,0,0,0,0,0,0.446721,0.5,1910,1919,1,0,0,0,0,0,0,0,0,0,1,78,232,14,54,7,2,1,17,4,2,6,27,0,0,3,0,44,0,1
adamc001,59,1699,98,192,8,37,0.446721,0.45,2014,2017,0,1,0,0,0,0,0,0,0,0,1,166,306,31,63,8,4,2,20,2,4,28,69,1,5,4,0,49,6,1
adamd001,38,1020,56,76,1,12,0.528689,0.55,2013,2013,1,0,0,0,0,0,0,0,1,0,1,43,140,10,27,5,1,2,13,0,0,9,43,0,2,1,0,19,4,0
adamd102,0,0,171,17,1,19,0.446721,0.45,1947,1947,1,0,0,0,0,0,0,0,1,1,0,37,89,9,18,2,3,2,11,0,0,2,18,0,0,2,0,11,0,0
adamg101,115,2661,183,6,8,1,0.42623,0.5,1975,1982,0,0,0,0,1,0,0,1,0,0,1,661,1617,152,452,79,5,34,225,6,10,111,183,8,4,9,19,334,47,1
adamh101,0,0,212,7,5,1,0.344262,0.3,1948,1950,0,0,0,0,1,0,0,1,0,1,0,95,337,39,88,8,6,0,18,4,2,22,24,0,2,3,0,74,5,0
adaml001,15,625,60,1,2,0,0.590164,0.65,2014,2018,0,0,0,0,1,0,0,0,1,0,1,117,137,30,36,5,1,7,26,11,0,14,47,0,1,1,1,23,4,1
adamm002,472,12404,3796,310,34,362,0.692623,0.6,2012,2018,1,0,0,0,0,0,0,1,0,0,1,707,2026,248,539,113,6,96,332,4,4,139,501,15,10,0,15,324,38,1
adamm102,27,763,57,8,1,2,0.42623,0.3,1972,1978,0,0,0,0,1,0,0,0,1,0,1,100,118,27,23,5,0,3,9,2,1,32,29,0,2,0,0,15,2,1
adamr001,67,1978,99,254,14,46,0.42623,0.55,1982,1985,0,0,0,0,0,0,1,0,1,0,1,120,247,35,53,5,1,4,16,3,2,10,37,3,5,7,0,43,5,1
adamr002,225,6078,331,573,46,113,0.528689,0.45,2004,2009,0,0,0,0,0,0,1,1,0,0,1,286,884,125,218,46,7,17,113,15,5,85,118,2,5,8,11,148,14,0
adamr003,24,639,47,62,2,16,0.446721,0.4,2011,2011,0,1,0,0,0,0,0,0,1,0,1,29,89,9,25,4,0,0,7,0,0,6,25,0,1,0,0,21,7,0
adams101,0,0,2287,3748,230,597,0.307377,0.1,1922,1934,0,0,0,0,0,0,1,0,1,0,1,1424,5557,844,1588,249,48,9,394,154,96,453,223,0,28,136,0,1282,14,1
adams102,0,0,225,263,34,46,0.336066,0.3,1923,1927,0,1,0,0,0,0,0,1,0,0,1,180,395,61,101,16,5,0,38,5,10,38,50,0,2,12,0,80,0,1
adamw002,80,2117,92,192,14,44,0.508197,0.45,2018,2018,0,1,0,0,0,0,0,0,1,0,1,85,288,43,80,7,0,10,34,6,5,31,95,3,1,1,2,63,6,0
adcoj101,1299,32684,13678,900,102,1234,0.54918,0.65,1950,1966,1,0,0,0,0,0,0,0,1,0,1,1959,6606,823,1832,295,35,336,1122,20,26,594,1059,55,17,52,35,1166,223,1
addib101,0,0,281,10,4,4,0.405738,0.45,1950,1953,0,0,0,0,1,0,0,1,0,0,1,208,534,70,150,22,2,2,47,8,6.5,37,47,0,0,5,0,124,9,1
adduj001,21,682,137,13,1,6,0.508197,0.7,1983,1989,1,0,0,0,0,0,0,1,0,1,0,70,144,11,34,8,1,1,15,0,1,2,27,0,0,1,3,24,1,1
adduj002,96,2521,496,18,8,25,0.54918,0.55,2013,2018,1,0,0,0,0,0,0,1,0,1,0,149,391,48,92,18,4,5,39,7,2,29,108,0,0,3,3,65,5,0
aderm101,0,0,125,26,14,5,0.459016,0.5,1939,1945,0,1,0,0,0,0,0,1,0,0,1,106,262,36,70,7,3,3,32,3,2.5,19,29,0,0,0,0,57,1,1
adkid101,0,0,2,5,1,1,0.364754,0.35,1942,1942,0,0,0,0,0,0,1,0,1,0,1,3,7,2,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0
adrie001,202,5738,310,516,20,102,0.385246,0.5,2013,2018,0,0,0,0,0,0,1,0,0,0,1,338,788,99,191,48,4,11,89,17,6,63,167,4,9,14,9,128,9,1
agbab001,289,7109,482,8,13,0,0.610656,0.45,1998,2002,0,0,0,0,1,0,0,0,1,0,1,383,1091,145,299,57,6,39,156,16,16,139,246,7,15,1,8,197,31,1
ageet101,962,26463,2371,53,61,18,0.487705,0.4,1962,1973,0,0,0,0,1,0,0,0,1,0,1,1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,672,99,1
aggah101,129,3568,1272,103,15,116,0.508197,0.55,1954,1955,1,0,0,0,0,0,0,1,0,1,0,157,517,65,135,23,9,11,67,8,3,57,67,0,0,7,6,92,9,0
agual001,268,8181,483,867,54,148,0.397541,0.3,1980,1989,0,0,0,0,0,0,1,0,1,0,1,568,1104,142,260,43,10,37,109,7,5,94,220,12,20,14,12,170,27,1
aguic001,39,1323,103,5,2,0,0.508197,0.4,2004,2008,0,0,0,0,1,0,0,0,1,0,1,149,230,26,53,13,2,3,16,2,2,16,61,1,0,2,0,35,3,1
aguij001,187,5092,1465,140,12,164,0.713115,0.6,2014,2018,1,0,0,0,0,0,0,0,1,0,1,317,829,122,219,41,2,51,165,0,0,87,258,4,11,0,14,125,28,1
ahmen001,390,10657,537,1258,39,285,0.487705,0.55,2014,2018,0,0,0,0,0,0,1,0,1,0,1,455,1458,169,334,69,13,36,149,17,16,97,297,9,8,10,11,216,36,1
aikew001,532,13403,4425,300,42,430,0.590164,0.6,1977,1985,1,0,0,0,0,0,0,1,0,0,1,774,2492,301,675,125,2,110,415,3,6,319,444,42,18,0,27,438,87,0
aingd101,188,4973,355,419,24,90,0.405738,0.65,1979,1981,0,1,0,0,0,0,0,0,1,0,1,211,665,57,146,19,4,2,37,12,5,37,128,2,4,12,3,121,16,0
akerb101,0,0,235,329,41,68,0.418033,0.4,1929,1932,0,0,0,0,0,0,1,0,1,0,1,174,475,64,124,17,9,11,69,7,6,63,64,0,1,14,0,87,0,1
albeh001,47,1402,94,166,4,38,0.569672,0.4,2015,2018,0,1,0,0,0,0,0,0,1,0,1,89,182,14,35,5,1,0,9,2,1,4,38,0,0,6,0,29,3,0
albio001,208,5577,340,529,13,128,0.364754,0.25,2017,2018,0,1,0,0,0,0,0,0,0,0,1,215,856,139,229,49,10,30,100,22,4,57,152,0,8,2,5,140,12,1
albrj101,0,0,48,85,8,15,0.405738,0.3,1947,1947,0,0,0,0,0,0,1,0,1,0,1,41,99,9,23,4,0,2,5,1,0.5,10,11,0,0,3,0,17,2,1
alcaa001,91,2684,203,123,10,16,0.385246,0.35,2014,2017,0,1,0,0,0,0,0,0,0,0,1,167,428,51,81,15,3,11,39,14,8,24,150,0,2,3,2,52,6,1
