retroID,POS,GS,InnOuts,PO,A,E,DP
aardd001,P,0,32,0,0,0,0
aardd001,P,0,119,1,5,0,0
aardd001,P,0,3,0,0,0,0
aardd001,P,0,149,2,3,1,0
aardd001,P,0,92,0,1,1,0
aardd001,P,0,214,2,5,0,1
aardd001,P,0,159,1,5,0,1
aardd001,P,0,146,3,6,0,0
aardd001,P,0,97,2,4,1,0
aaroh101,OF,153,4129,320,13,6,6
aaroh101,3B,0,27,2,2,0,0
aaroh101,OF,154,4101,377,13,7,3
aaroh101,1B,0,3,1,0,0,0
aaroh101,OF,153,4019,340,11,7,1
aaroh101,OF,125,3180,246,6,6,1
aaroh101,OF,161,4338,267,10,6,1
aaroh101,2B,8,186,14,15,1,2
aaroh101,OF,134,3514,270,13,5,5
aaroh101,2B,0,6,1,0,0,0
aaroh101,OF,0,6,1,0,0,0
aaroh101,2B,0,9,0,0,0,0
aaroh101,OF,142,3743,267,11,5,3
aaroh101,1B,3,78,32,2,0,3
aaroh101,1B,70,1845,629,38,3,56
aaroh101,OF,59,1548,104,2,2,0
aaroh101,1B,106,2796,968,66,14,79
aaroh101,OF,143,3874,330,13,3,2
aaroh101,OF,148,3928,298,9,4,2
aaroh101,1B,14,309,88,7,2,8
aaroh101,OF,105,2573,206,5,5,0
aaroh101,OF,89,1992,142,3,2,0
aaroh101,OF,152,4044,321,12,7,3
aaroh101,2B,0,3,1,0,0,0
aaroh101,OF,3,63,2,0,0,0
aaroh101,OF,157,4066,315,12,4,5
aaroh101,OF,15,354,28,4,3,0
aaroh101,OF,149,3980,261,12,5,3
aaroh101,1B,10,243,73,4,1,6
aaroh101,3B,5,126,2,10,0,0
aaroh101,OF,113,3093,223,5,7,0
aaroh101,2B,26,709,86,84,6,23
aaroh101,OF,125,3329,254,9,9,2
aaroh101,OF,153,4083,305,12,5,0
aaroh101,OF,150,4069,346,9,6,0
aaroh101,OF,152,4048,316,17,13,4
aarot101,2B,3,93,12,8,0,2
aarot101,3B,1,15,1,1,0,0
aarot101,OF,10,232,11,0,1,0
aarot101,1B,4,117,45,4,2,3
aarot101,1B,6,219,70,6,2,16
aarot101,OF,51,1376,78,3,5,1
aarot101,3B,0,3,0,0,0,0
aarot101,1B,19,575,209,17,0,12
aarot101,3B,4,129,4,13,0,2
aarot101,OF,35,880,65,1,4,0
aarot101,1B,14,620,197,9,0,26
aarot101,2B,0,3,0,1,0,0
aarot101,1B,3,153,40,2,2,1
aarot101,OF,9,213,13,0,0,0
aarot101,1B,39,1507,507,45,6,55
aarot101,OF,6,172,17,0,0,0
aarot101,1B,2,162,48,2,0,5
aarot101,3B,0,3,0,1,0,1
aased001,P,0,264,8,10,0,0
aased001,P,0,117,1,5,1,0
aased001,P,0,245,5,12,1,1
aased001,P,0,24,0,1,0,0
aased001,P,13,277,5,13,1,0
aased001,P,0,140,2,3,0,1
aased001,P,0,178,6,8,0,0
aased001,P,29,536,16,26,3,2
aased001,P,0,114,1,3,0,0
aased001,P,0,156,3,5,0,0
aased001,P,0,196,2,10,1,1
aased001,P,21,525,10,22,4,2
aased001,P,28,556,8,17,2,3
abada001,1B,0,3,2,0,0,1
abada001,1B,3,114,35,1,1,2
abada001,OF,1,21,0,0,0,0
abadf001,P,0,57,0,3,0,0
abadf001,P,0,143,2,4,0,0
abadf001,P,6,138,3,6,0,0
abadf001,P,0,172,0,8,0,0
abadf001,P,0,131,0,6,0,1
abadf001,P,0,102,0,3,0,1
abadf001,P,0,59,1,2,2,0
abadf001,P,0,113,1,4,0,0
abadf001,P,0,38,0,1,0,0
