retroID,GS,InnOuts,PO,A,E,DP
aardd001,0,1011,11,29,3,2
aaroh101,2977,78414,7436,429,144,218
aarot101,206,6472,1317,113,22,124
aased001,91,3328,67,135,13,10
abada001,4,138,37,1,1,3
abadf001,6,953,7,37,2,2
abbog001,206,3858,113,187,17,12
abboj001,254,5022,72,300,9,16
abboj002,140,3688,299,2,8,0
abbok001,22,556,6,25,1,0
abbok002,504,13474,938,1262,79,275
abbop001,112,2162,61,76,6,8
abera101,19,924,23,79,6,6
aberb001,217,5782,445,590,22,154
aberb101,0,0,0,0,0,0
aberc101,0,0,76,8,8,2
aberr001,96,2624,272,7,6,2
abert101,34,3438,92,304,21,16
abert102,0,0,3,4,1,0
aberw101,0,0,1,6,0,0
abnes001,199,5979,566,10,4,3
abrac101,208,5500,850,33,21,7
abrag101,0,0,0,1,0,0
abreb001,2088,54870,3952,136,73,24
abrej001,5,72,1,6,1,0
abrej002,0,20,1,0,0,0
abrej003,628,16580,5203,364,43,547
abrej101,0,0,9,15,1,1
abret001,120,3375,164,327,19,66
abrew001,0,133,3,2,0,0
accaj001,0,854,13,35,1,5
aceva001,15,1141,24,38,6,5
acevj001,34,1710,42,68,8,1
acevj002,59,1105,19,39,0,3
achta001,0,186,3,5,1,0
ackej001,32,2713,73,161,2,11
acket101,23,1141,19,49,1,1
ackld001,545,14709,1144,805,18,190
acklf101,4,58,0,6,0,0
acosc101,0,559,6,21,4,3
acose101,8,414,10,13,1,1
acosj101,0,0,5,38,1,0
acosm001,0,744,19,37,4,6
acrem001,0,381,5,9,1,0
acunr001,107,2808,184,3,5,0
adaij101,1053,28316,2380,2878,103,618
adaij102,0,0,37,55,5,9
adama001,0,176,1,6,1,0
adama002,0,18,1,0,0,0
adama101,0,0,14,108,5,7
adamb101,0,0,1339,35,29,8
adamb102,0,0,2,2,0,0
adamb103,234,6022,1748,2262,158,371
adamb104,0,0,14,256,5,6
adamb105,2,54,20,1,0,1
adamb106,0,0,0,0,0,0
adamb107,0,0,0,5,0,0
adamc001,59,1699,98,192,8,37
adamc002,1,23,1,0,0,0
adamd001,38,1020,56,76,1,12
adamd102,0,0,171,17,1,19
adamg101,115,2661,183,6,8,1
adamh101,0,0,212,7,5,1
adamj001,11,331,9,15,3,0
adamj002,0,97,0,2,0,0
adaml001,15,625,60,1,2,0
adamm001,0,1222,32,43,1,4
adamm002,472,12404,3796,310,34,362
adamm101,4,76,2,3,0,0
adamm102,27,763,57,8,1,2
adamr001,67,1978,99,254,14,46
adamr002,225,6078,331,573,46,113
adamr003,24,639,47,62,2,16
adamr101,0,0,0,5,1,1
adams101,0,0,2287,3748,230,597
adams102,0,0,225,263,34,46
adamt001,41,2608,87,130,14,6
adamw001,24,404,7,16,0,0
adamw002,80,2117,92,192,14,44
adamw101,0,0,0,1,0,0
adcoj101,1299,32684,13678,900,102,1234
adcon001,5,369,10,16,3,0
addib101,0,0,281,10,4,4
