retroID,POS,birthYear,bats,throws,weight,height,debutYear,finalYear
aardd001,P,1981.0,R,R,215.0,75.0,2004,2015
aaroh101,OF,1934.0,R,R,180.0,72.0,1954,1976
aarot101,1B,1939.0,R,R,190.0,75.0,1962,1971
aased001,P,1954.0,R,R,190.0,75.0,1977,1990
abada001,1B,1972.0,L,L,184.0,73.0,2001,2006
abadf001,P,1985.0,L,L,220.0,73.0,2010,2017
abbog001,P,1951.0,R,R,200.0,78.0,1973,1984
abboj001,P,1967.0,L,L,200.0,75.0,1989,1999
abboj002,OF,1972.0,R,L,190.0,74.0,1997,2001
abbok001,P,1968.0,L,L,200.0,76.0,1991,1996
abbok002,SS,1969.0,R,R,180.0,71.0,1993,2001
abbop001,P,1967.0,R,R,185.0,75.0,1990,2004
abera101,P,1927.0,L,L,195.0,74.0,1950,1957
aberb001,2B,1977.0,R,R,185.0,73.0,2001,2005
aberb101,P,1929.0,R,R,190.0,70.0,1952,1952
aberc101,OF,1921.0,R,R,200.0,72.0,1947,1949
aberr001,OF,1980.0,R,R,215.0,75.0,2006,2008
abert101,P,1933.0,R,R,215.0,76.0,1955,1972
abert102,P,1921.0,R,L,210.0,74.0,1942,1944
aberw101,P,1915.0,L,L,170.0,72.0,1946,1947
abnes001,OF,1966.0,R,R,190.0,73.0,1987,1992
abrac101,OF,1924.0,L,L,185.0,72.0,1949,1956
abrag101,P,1899.0,R,R,170.0,69.0,1923,1923
abreb001,OF,1974.0,L,R,220.0,72.0,1996,2014
abrej001,P,1962.0,R,R,185.0,72.0,1985,1985
abrej002,P,1985.0,R,R,185.0,72.0,2011,2011
abrej003,1B,1987.0,R,R,255.0,75.0,2014,2018
abrej101,2B,1913.0,R,R,160.0,68.0,1942,1942
abret001,2B,1984.0,B,R,200.0,70.0,2007,2014
abrew001,P,1977.0,R,R,170.0,74.0,2006,2009
accaj001,P,1981.0,R,R,195.0,72.0,2005,2012
aceva001,P,1982.0,R,R,205.0,74.0,2008,2014
acevj001,P,1970.0,R,R,245.0,74.0,1995,2003
acevj002,P,1977.0,R,R,185.0,72.0,2001,2005
achta001,P,1988.0,R,R,215.0,77.0,2014,2016
ackej001,P,1958.0,R,R,210.0,74.0,1983,1992
acket101,P,1930.0,R,R,215.0,76.0,1956,1959
ackld001,2B,1988.0,L,R,205.0,73.0,2011,2016
acklf101,P,1937.0,L,R,202.0,73.0,1963,1964
acosc101,P,1946.0,R,R,165.0,70.0,1972,1975
acose101,P,1944.0,B,R,215.0,77.0,1970,1972
acosj101,P,1891.0,R,R,134.0,66.0,1920,1922
acosm001,P,1981.0,R,R,215.0,76.0,2007,2012
acrem001,P,1968.0,R,R,235.0,80.0,1994,1997
acunr001,OF,1997.0,R,R,180.0,72.0,2018,2018
adaij101,2B,1936.0,R,R,175.0,72.0,1958,1970
adaij102,SS,1907.0,R,R,154.0,70.0,1931,1931
adama001,P,1986.0,R,R,200.0,71.0,2014,2016
adama002,P,1991.0,R,R,225.0,75.0,2017,2018
adama101,P,1910.0,R,R,182.0,70.0,1941,1946
adamb101,OF,1915.0,R,R,180.0,72.0,1939,1947
adamb102,P,1907.0,R,R,165.0,72.0,1931,1932
adamb103,3B,1921.0,R,R,160.0,70.0,1946,1959
adamb104,P,1882.0,L,R,185.0,71.0,1906,1926
adamb105,1B,1952.0,R,R,200.0,74.0,1977,1977
adamb106,1B,1891.0,B,R,185.0,73.0,1910,1919
adamb107,P,1901.0,R,R,168.0,71.0,1925,1925
adamc001,2B,1991.0,B,R,185.0,72.0,2014,2017
adamc002,P,1994.0,R,R,220.0,73.0,2018,2018
adamd001,1B,1987.0,R,R,205.0,74.0,2013,2013
adamd101,C,1943.0,L,R,185.0,75.0,1969,1969
adamd102,1B,1920.0,R,L,185.0,72.0,1947,1947
adamg101,OF,1947.0,L,R,180.0,73.0,1975,1982
adamh101,OF,1928.0,L,L,160.0,69.0,1948,1950
adamj001,P,1971.0,L,L,185.0,76.0,1996,1998
adamj002,P,1991.0,R,R,225.0,76.0,2018,2018
adaml001,OF,1989.0,R,R,220.0,76.0,2014,2018
adamm001,P,1978.0,R,R,210.0,77.0,2004,2014
adamm002,1B,1988.0,L,R,245.0,75.0,2012,2018
