retroID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
adamb104,1919,17,10,34,29,23,6,1,790,213,58,1,23,92,0.22,1.98,0,2,3,0,1017,5,66,0,0,0
adamw101,1919,0,0,1,0,0,0,0,14,7,2,1,2,0,0.38,3.86,0,0,1,0,21,1,2,0,0,0
alexg102,1919,16,11,30,27,20,9,1,705,180,45,3,38,121,0.21,1.72,0,1,0,0,906,3,51,0,0,0
altrn101,1919,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,0,4,0,0,0
amesr101,1919,3,5,23,7,1,0,1,210,88,38,1,25,19,0.31,4.89,0,3,1,0,314,10,44,0,0,0
amesr101,1919,0,2,3,2,1,0,1,48,26,11,0,3,4,0.4,6.19,0,1,0,0,71,1,12,0,0,0
andew102,1919,1,0,3,0,0,0,0,42,13,6,0,8,10,0.24,3.86,0,0,1,0,90,3,10,0,0,0
ayerd101,1919,0,6,11,5,0,0,1,131,52,14,0,17,12,0.31,2.89,0,0,4,0,185,4,31,0,0,0
ayerd101,1919,5,3,24,5,3,1,0,281,88,28,2,31,32,0.25,2.69,0,1,3,1,378,10,34,0,0,0
bagbj101,1919,17,11,35,32,21,0,3,724,258,75,3,44,61,0.27,2.8,0,2,4,0,987,3,96,0,0,0
bails101,1919,3,5,21,5,0,0,0,214,75,25,2,20,19,0.28,3.15,0,0,3,0,292,10,30,0,0,0
barnj102,1919,25,9,38,34,23,4,1,887,263,79,8,35,92,0.23,2.4,0,2,2,0,1178,4,98,0,0,0
barnv101,1919,0,0,1,0,0,0,0,6,6,4,0,1,1,0.54,18,0,0,0,0,12,1,4,0,0,0
baynb101,1919,1,1,2,2,1,0,0,36,16,7,0,6,0,0.32,5.25,0,0,0,0,56,0,8,0,0,0
bentr102,1919,17,11,35,28,11,1,2,627,181,61,5,52,53,0.23,2.63,0,4,4,0,848,6,71,0,0,0
benzj101,1919,0,0,1,0,0,0,0,6,2,0,0,0,0,0.25,0,0,0,0,0,8,1,1,0,0,0
bolab101,1919,14,16,35,30,18,1,1,728,222,82,7,80,71,0.25,3.04,0,4,3,0,960,5,93,0,0,0
boldb101,1919,0,1,3,1,0,0,0,36,17,7,0,4,4,0.34,5.25,0,0,1,0,56,0,7,0,0,0
boond102,1919,0,1,3,2,0,0,0,44,24,11,0,10,1,0.37,6.75,0,1,0,0,74,1,14,0,0,0
bresr101,1919,2,4,13,4,1,0,0,125,37,16,1,8,13,0.24,3.46,0,1,0,0,163,7,19,0,0,0
bushj102,1919,0,0,3,2,0,0,0,27,11,5,0,4,3,0.32,5,0,1,0,0,38,0,5,0,0,0
cadol101,1919,14,12,35,27,16,3,0,752,228,66,5,39,94,0.24,2.37,0,3,6,0,996,7,80,0,0,0
caldr101,1919,7,4,18,12,6,1,0,259,92,38,1,31,23,0.27,3.96,0,2,3,0,363,5,66,0,0,0
caldr101,1919,5,1,6,6,4,1,0,158,33,10,1,19,24,0.18,1.71,0,1,2,0,203,0,18,0,0,0
cantm101,1919,1,3,5,3,2,0,0,82,36,17,1,9,6,0.34,5.6,0,0,2,0,119,2,19,0,0,0
carlh101,1919,8,10,22,14,7,1,0,423,114,35,0,39,49,0.24,2.23,0,1,2,0,531,7,41,0,0,0
cartp101,1919,5,4,28,7,2,0,1,255,81,25,1,28,17,0.25,2.65,0,0,2,0,359,20,36,0,0,0
causr101,1919,9,3,19,16,6,0,0,315,99,43,5,38,25,0.25,3.69,0,0,2,0,444,2,52,0,0,0
causr101,1919,4,5,10,10,3,0,0,207,81,35,1,20,14,0.3,4.57,0,1,1,0,291,0,38,0,0,0
chenl101,1919,1,3,9,4,2,0,0,117,45,18,1,14,14,0.3,4.15,0,2,2,0,173,2,21,0,0,0
chenl101,1919,0,2,8,2,0,0,0,99,35,13,0,15,13,0.29,3.55,0,3,0,0,136,4,20,0,0,0
chenl101,1919,2,5,9,6,5,0,0,172,69,29,2,28,25,0.31,4.55,0,3,1,0,261,2,34,0,0,0
cicoe101,1919,29,7,40,35,30,5,1,920,256,62,5,49,110,0.22,1.82,0,1,2,0,1176,5,77,0,0,0
coopw101,1919,19,13,35,32,27,4,1,860,229,85,10,74,106,0.22,2.67,0,5,15,0,1147,3,97,0,0,0
coumf101,1919,1,1,8,2,0,0,1,71,32,14,2,9,7,0.34,5.32,0,0,0,0,101,4,15,0,0,0
courh101,1919,3,0,4,3,2,1,0,79,25,8,0,19,6,0.26,2.73,0,0,0,0,112,1,9,0,0,0
coves101,1919,24,12,43,34,24,4,4,858,286,83,2,60,118,0.26,2.61,0,5,5,0,1138,9,99,0,0,0
crafm101,1919,0,3,16,2,0,0,1,146,59,21,2,18,17,0.3,3.88,0,1,2,0,211,9,28,0,0,0
cunng101,1919,1,1,17,0,0,0,1,143,54,26,0,15,11,0.29,4.91,0,2,5,0,205,15,36,0,0,0
danfd101,1919,1,2,15,1,0,0,1,125,58,36,1,20,17,0.33,7.78,0,0,1,0,195,9,44,0,0,0
daush101,1919,21,9,34,32,22,2,0,769,262,101,9,63,73,0.26,3.55,0,1,5,0,1049,1,125,0,0,0
daved101,1919,2,11,24,16,5,0,0,370,135,54,4,41,37,0.28,3.94,0,1,2,0,525,3,74,0,0,0
demaa101,1919,6,6,25,13,6,0,3,384,147,54,8,35,34,0.3,3.8,0,2,1,1,544,11,66,0,0,0
doakb101,1919,13,14,31,29,13,3,0,608,182,70,5,55,69,0.24,3.11,0,5,2,0,822,2,87,0,0,0
dougp101,1919,10,6,25,19,8,4,0,485,133,36,0,34,63,0.23,2,0,3,2,1,641,5,52,0,0,0
dougp101,1919,2,4,8,6,4,0,0,154,53,12,0,6,21,0.26,2.1,0,0,1,0,216,2,22,0,0,0
dubuj101,1919,6,4,36,5,1,0,3,396,119,39,4,37,32,0.24,2.66,0,1,2,0,542,22,49,0,0,0
