retroID,BAOpp,ERA,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
aardd001,0.2574,5.1944,16,18,331,0,0,0,69,1011,296,160,41,183,340,22,12,16,1,1475,141,169,17,11,21
aased001,0.2508,3.4931,66,60,448,91,22,5,82,3328,1085,468,89,457,641,45,22,7,3,4730,235,503,50,34,106
abadf001,0.2447,4.081,8,29,384,6,0,0,2,992,309,135,42,116,280,10,10,12,2,1399,97,143,7,12,25
abbog001,0.2786,4.3317,62,83,248,206,37,5,0,3858,1405,627,162,352,484,28,18,32,5,5508,13,707,60,39,111
abboj001,0.2804,4.4964,87,108,263,254,31,6,0,5022,1779,791,154,620,888,30,53,32,11,7211,5,880,70,47,200
abbok001,0.3378,8.4425,4,17,57,22,0,0,0,556,207,107,26,79,124,0,13,2,3,815,4,112,10,6,18
abbop001,0.2615,5.5117,43,37,162,112,1,0,0,2162,682,394,101,393,496,17,37,21,0,3187,17,421,19,22,51
abera101,0.27,5.4438,24,25,168,30,7,0,14,1168,398,181,29,160,169,10,8,6,0,1698,76,205,0,0,0
aberb101,0.44,13.5,0,0,1,0,0,0,1,6,4,3,1,1,0,0,0,0,0,10,1,3,0,0,0
abert101,0.2451,3.9653,63,69,681,34,7,2,148,3443,1010,441,70,592,765,80,35,45,3,4963,416,513,23,7,0
abert102,0.3267,8.6733,0,3,7,2,1,0,0,61,31,25,0,17,13,0,1,0,0,107,3,26,0,0,0
aberw101,0.315,6.19,1,1,16,1,0,0,1,126,36,17,5,11,6,0,0,0,0,164,6,19,0,0,0
abrag101,0.5,9.64,0,0,3,0,0,0,0,14,10,5,0,3,1,0,0,0,0,24,1,5,0,0,0
abreb002,0.138,1.04,0,0,7,0,0,0,0,26,4,1,0,3,13,0,0,0,0,32,2,1,0,0,1
abrej001,0.352,6.38,1,1,6,5,0,0,0,72,32,17,3,12,13,1,0,0,0,109,0,18,5,1,3
abrej002,0.231,2.7,0,0,7,0,0,0,0,20,6,2,1,3,12,0,0,5,0,34,2,2,0,0,0
abrew001,0.332,10.4125,0,1,38,0,0,0,0,133,57,36,10,19,38,2,2,2,1,207,6,39,1,2,6
accaj001,0.3004,5.349,10,20,262,0,0,0,38,854,288,136,24,111,205,16,10,9,2,1222,115,143,5,13,26
aceva001,0.2413,4.0414,31,16,204,15,0,0,29,1141,333,162,48,129,282,6,5,28,6,1599,91,172,6,13,26
acevj001,0.2833,4.508,28,40,367,34,0,0,53,1710,597,274,72,226,350,34,20,28,4,2488,165,316,29,26,59
acevj002,0.272,5.55,18,25,104,59,1,0,1,1105,420,235,71,113,253,14,9,12,2,1628,11,246,14,17,22
achta001,0.2767,4.3767,2,1,45,0,0,0,0,186,69,27,13,21,33,2,0,1,0,267,22,30,0,1,8
ackej001,0.2703,3.96,33,49,467,32,0,0,30,2713,918,399,82,329,482,40,31,32,2,3868,159,447,43,31,100
acket101,0.2475,4.0025,19,13,153,23,5,1,8,1141,365,174,43,150,256,20,6,17,0,1629,35,181,0,0,0
acklf101,0.25,5.305,1,0,5,4,0,0,0,58,17,9,4,11,17,0,1,0,0,84,1,10,0,0,0
acosc101,0.2332,3.44,13,9,107,0,0,0,27,558,143,55,15,77,109,8,4,12,1,768,74,65,11,6,9
acose101,0.3217,6.8967,6,9,57,8,3,1,1,413,153,62,12,39,70,8,6,4,2,594,22,71,8,8,0
acosj101,0.3367,5.5967,10,10,55,13,6,1,4,640,265,107,9,68,45,0,4,0,0,939,28,119,0,0,0
acosm001,0.2432,3.8417,13,13,233,0,0,0,9,744,234,110,30,117,219,10,14,8,0,1070,78,122,9,5,26
acrem001,0.2788,5.245,9,6,114,0,0,0,2,381,135,73,16,68,98,9,3,5,1,582,32,75,5,4,11
adama001,0.3022,8.924,2,0,68,0,0,0,1,226,91,54,12,34,58,2,1,0,0,347,30,57,2,1,7
adama002,0.161,4.0925,2,2,38,2,0,0,0,114,25,16,4,27,63,0,5,2,0,166,6,18,0,2,3
adama101,0.295,5.6717,41,33,302,7,2,0,49,1658,541,213,26,224,171,0,15,8,0,2379,218,247,0,0,0
adamb102,0.365,5.25,0,1,5,1,0,0,0,36,21,7,0,3,5,0,0,0,0,60,3,11,0,0,0
adamb104,0.2662,3.4325,80,55,208,136,81,20,10,3582,1206,405,33,127,338,0,10,12,1,4847,45,470,0,0,0
adamb107,0.41,7.94,0,0,2,0,0,0,0,17,10,5,1,3,1,0,0,0,0,28,2,5,0,0,0
adamc002,0.309,7.785,1,2,16,1,0,0,1,99,47,30,10,15,27,0,1,2,1,158,6,32,0,0,4
adamj001,0.3163,6.3733,5,6,44,11,0,0,0,331,121,60,19,37,77,0,0,9,1,484,4,66,7,4,11
adamj002,0.223,4.515,3,3,54,0,0,0,0,162,45,29,10,25,55,2,5,6,3,233,16,30,0,5,3
adamm001,0.2234,3.2718,21,20,408,0,0,0,4,1222,316,109,33,126,409,12,7,6,0,1653,60,122,13,6,19
adamm101,0.2933,7.4233,0,4,11,4,0,0,0,76,28,21,3,22,14,2,2,0,1,122,2,22,0,0,0
adamr101,0.35,8.25,0,1,8,0,0,0,0,36,18,11,1,7,8,0,0,0,0,59,4,12,0,0,0
adamt001,0.2812,5.0058,51,62,574,41,0,0,42,2608,890,403,63,380,691,33,54,17,6,3801,201,448,38,20,98
adamw001,0.282,6.095,6,9,25,24,1,1,0,404,149,87,20,55,105,5,4,9,0,611,0,92,6,7,7
adamw101,0.38,3.86,0,0,1,0,0,0,0,14,7,2,1,2,0,0,0,1,0,21,1,2,0,0,0
adcon001,0.266,4.365,2,6,56,5,0,0,1,369,126,57,14,56,80,5,6,7,1,541,14,64,5,4,11
adenn001,0.326,4.5,1,0,4,4,0,0,0,54,25,12,0,16,9,0,3,0,0,90,0,12,0,0,4
adkid103,0.2633,6.08,2,4,38,6,1,0,0,297,114,62,10,50,47,0,3,0,0,451,19,69,0,0,0
adkig101,0.285,4.53,12,27,67,42,19,0,1,1089,403,175,24,156,78,0,4,7,0,1626,18,211,0,0,0
adkij001,0.2517,4.09,5,5,119,0,0,0,0,416,155,70,18,54,81,10,1,5,0,605,40,75,9,4,21
adkis001,0.226,6.38,1,2,5,5,0,0,0,72,19,17,4,29,14,0,2,0,0,115,0,18,1,1,3
adlet001,0.2575,4.76,9,15,43,33,0,0,0,576,188,106,42,71,155,2,1,11,1,818,4,111,7,5,16
adrie001,0.625,27,0,0,1,0,0,0,0,3,5,3,0,0,1,0,0,0,0,8,1,3,0,0,0
affej001,0.2547,4.1013,43,46,774,42,0,0,28,2778,904,408,76,396,720,41,55,42,9,4034,162,455,42,25,102
agosj001,0.3023,5.6767,40,33,543,2,0,0,29,1879,639,279,30,248,307,47,21,30,7,2713,198,313,55,28,79
agrad001,0.283,4.91,4,5,15,14,0,0,0,220,82,40,15,18,41,0,0,10,0,321,0,43,2,1,5
aguih101,0.24,3.2119,75,72,447,149,44,9,33,4127,1216,496,123,479,856,35,35,47,9,5790,124,562,2,0,0
aguir001,0.2436,3.4963,86,81,732,89,10,0,318,3874,1233,512,138,351,1030,42,53,36,10,5391,557,568,52,33,94
aheap001,0.4,11.7,0,2,4,3,0,0,0,30,20,13,2,5,4,1,1,0,0,55,0,13,0,0,0
ainsk001,0.3162,8.134,6,8,29,22,0,0,0,380,136,73,16,61,90,0,7,8,0,569,4,78,6,4,11
akerd001,0.2592,5.16,9,10,125,13,1,0,3,701,216,132,36,127,129,16,21,13,1,1047,33,146,17,12,15
akerj102,0.2536,3.8543,47,45,495,0,0,0,123,2238,679,272,64,274,404,68,13,40,0,3144,321,312,32,12,19
alanr001,0.3475,12.825,1,0,12,0,0,0,0,47,19,16,3,7,13,0,0,0,1,71,4,17,0,1,2
albag001,0.091,2.7,0,0,3,0,0,0,0,10,1,1,0,2,3,0,0,0,0,14,1,2,0,1,0
albaj001,0.273,4.808,6,3,66,0,0,0,0,230,77,37,10,32,56,3,0,7,1,332,13,40,2,7,9
albaj101,0.34,4.5,0,0,6,0,0,0,0,18,8,3,1,2,3,0,0,0,0,27,6,3,0,0,0
albea001,0.2465,4.19,7,6,26,18,1,1,1,362,135,55,18,25,79,0,2,4,1,523,5,73,2,3,14
albeh001,0.25,18,0,0,1,0,0,0,0,3,1,2,1,2,0,0,0,1,0,7,1,2,0,0,0
albej001,0.3233,7.0433,0,4,27,5,0,0,0,175,77,48,7,36,23,3,5,2,0,290,10,57,2,3,4
albem001,0.2574,4.0413,47,48,616,24,0,0,7,2277,751,367,87,314,571,30,29,35,1,3288,145,399,29,28,92
alboe101,0.245,6.18,0,8,19,8,0,0,0,158,52,36,4,43,24,0,1,1,0,250,3,43,0,0,0
albre101,0.155,5.4,1,1,3,2,1,0,0,35,7,7,0,11,2,0,0,0,0,52,1,10,0,0,0
albua001,0.1851,2.8862,17,8,264,0,0,0,1,735,187,86,17,135,291,13,20,8,8,1045,58,88,3,6,13
albuv101,0.2338,3.7325,18,17,101,37,6,1,1,1118,338,170,36,220,193,7,21,12,1,1630,32,194,16,16,26
alcaj001,0.167,0,0,0,2,0,0,0,0,5,1,0,0,1,1,0,0,0,0,7,2,0,0,0,0
alcar001,0.286,7.19,2,5,13,9,0,0,0,139,53,37,14,16,26,1,1,7,2,211,2,39,0,3,4
alcas001,0.2427,3.88,8,17,46,38,2,2,0,719,213,102,28,110,191,5,4,10,1,1023,3,113,7,3,27
alcas101,0.291,5.0433,14,11,68,33,3,1,2,748,257,132,25,121,140,9,9,6,5,1103,11,138,8,8,15
alcav001,0.2913,5.28,4,3,79,0,0,0,0,240,82,38,14,25,50,0,6,4,0,340,19,40,1,3,9
alded101,0.345,6.54,0,1,16,3,0,0,0,107,52,26,4,12,11,0,0,0,0,168,9,30,0,0,0
aldrj001,0.2632,4.7975,6,5,62,0,0,0,2,326,119,57,12,39,46,9,3,3,2,474,21,62,7,4,15
aldrm001,0.333,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0
aldrs001,0.3014,6.1633,20,39,229,67,1,0,1,1499,581,334,78,230,312,20,30,19,2,2267,29,356,27,22,48
aldrv101,0.2686,3.8971,91,73,215,199,101,7,4,4445,1560,629,86,469,472,0,18,37,0,6359,13,730,0,0,0
alexb101,0.395,11.25,1,1,9,0,0,0,0,33,18,13,0,7,2,2,2,2,0,57,5,13,0,0,0
alexd001,0.2611,3.8548,194,174,561,464,98,18,3,10103,3376,1406,324,978,1528,60,74,53,10,14162,56,1541,116,97,242
alexg001,0.4033,13.3167,6,3,36,11,0,0,0,294,112,63,12,54,59,7,3,4,1,453,6,67,6,5,7
alexg102,0.2715,3.5031,181,119,364,319,215,29,17,8016,2748,883,118,393,780,0,19,15,0,10908,33,1056,0,0,0
alexm001,0.5,67.5,0,0,1,0,0,0,0,2,1,5,1,4,0,0,0,0,0,7,1,5,0,1,0
alexs001,0.2578,3.522,10,7,180,1,0,0,7,532,165,63,10,72,143,4,6,4,0,736,28,68,2,3,37
alext001,0.302,4.86,1,4,13,8,0,0,0,161,68,29,9,7,47,0,1,2,0,235,1,30,0,1,5
alfoa001,0.2922,4.3582,35,37,592,0,0,0,129,1839,677,280,55,250,400,45,13,22,2,2710,301,296,36,18,79
allab101,0.2613,4.5733,4,6,19,13,3,0,0,287,97,45,9,31,44,3,1,1,0,399,3,52,2,2,16
allak001,0.372,8.67,5,3,12,10,0,0,0,160,71,36,6,23,36,0,1,3,1,255,0,38,1,1,5
alleb101,0.262,4.294,7,12,204,0,0,0,19,822,288,125,23,132,199,27,18,5,2,1232,84,152,0,0,0
alleb102,0.32,6.75,0,1,3,1,0,0,0,36,18,9,2,8,8,0,0,0,0,64,1,12,0,0,0
allec002,0.2245,3.4525,24,31,481,0,0,0,153,1391,375,162,55,193,593,13,40,10,0,1943,291,179,13,12,29
allej102,0.2447,3.7653,142,75,352,241,109,17,18,5851,1849,813,104,738,1070,0,68,38,5,8292,68,924,0,0,0
allel002,0.3315,3.375,2,3,9,4,0,0,0,83,36,19,4,13,17,0,0,2,0,127,3,20,2,1,4
allel101,0.2751,6.9167,8,25,159,19,0,0,22,892,291,155,19,196,194,18,27,11,2,1366,75,183,18,12,8
allen001,0.2825,4.7686,58,70,434,59,7,6,75,2965,985,426,73,417,611,68,39,9,3,4248,222,464,54,37,86
allid001,0.381,7.36,1,1,11,0,0,0,0,33,16,9,0,5,4,1,0,0,0,49,4,9,1,1,3
almaa001,0.235,4.3214,14,13,254,0,0,0,2,644,189,115,34,136,232,13,8,6,4,951,49,123,8,13,15
almac001,0.2661,5.4637,13,13,210,1,0,0,0,717,252,128,35,82,170,12,10,13,0,1044,63,134,8,12,23
almoe002,0.412,11.12,0,0,12,0,0,0,0,34,21,14,3,5,7,1,1,0,0,57,3,15,1,0,3
almoh001,0.3133,6.4167,1,4,50,0,0,0,0,155,63,36,6,30,40,5,8,2,0,243,15,36,3,3,3
almom001,0.356,10.0067,0,2,19,0,0,0,0,53,21,17,5,12,17,0,1,2,0,87,7,17,0,1,1
almoy001,0.276,3.7,0,1,42,0,0,0,0,146,54,24,8,18,43,0,2,1,0,217,9,27,1,2,5
aloml101,0.2475,3.65,18,3,116,1,1,1,15,706,212,90,21,111,115,0,5,4,2,1001,55,98,0,0,0
aloum101,0.33,0,0,0,1,0,0,0,0,6,3,0,0,1,3,0,0,0,0,10,1,0,0,0,0
alstg001,0.375,9,1,0,6,0,0,0,0,18,9,6,1,3,5,0,1,1,0,30,4,6,0,2,1
altad001,0.207,3.275,6,4,95,0,0,0,0,283,74,38,12,48,103,2,16,4,0,400,26,44,1,6,8
altap001,0.2437,4.2033,7,4,65,0,0,0,2,275,87,41,13,30,57,6,4,3,1,385,27,43,10,6,8
altee101,0.39,9,0,1,14,1,0,0,0,69,40,23,2,9,4,0,0,1,0,112,7,27,0,0,0
altha001,0.4,9,0,0,1,0,0,0,0,3,2,1,0,0,2,0,0,0,0,5,1,1,0,0,0
altrn101,0.75,0,0,0,2,0,0,0,0,6,8,0,0,0,0,0,0,0,0,12,1,5,0,0,0
alvaa001,0.4157,12.1433,0,1,4,1,0,0,0,31,19,13,5,7,5,0,0,0,0,53,1,13,0,0,1
alvad001,0.3374,7.848,6,1,56,0,0,0,0,144,56,27,10,22,61,2,7,6,2,222,12,31,1,3,6
alvah001,0.2708,4.2283,27,35,95,95,5,5,0,1733,610,245,56,140,302,8,16,22,4,2425,0,268,14,15,75
alvaj001,0.1962,2.6375,8,9,98,0,0,0,5,487,140,54,12,79,134,15,7,7,2,688,38,56,14,4,15
alvaj002,0.2588,6.0875,0,5,80,0,0,0,0,181,58,35,12,40,42,2,2,4,1,271,19,36,3,3,8
alvaj003,0.2719,3.2443,15,22,351,7,0,0,3,1003,339,135,34,106,297,20,8,11,1,1433,59,152,7,7,32
alvaj004,0.2177,3.61,2,15,140,1,0,0,15,371,95,45,4,65,148,8,12,1,0,532,39,51,7,5,7
alvar001,0.2165,5.515,0,0,31,0,0,0,0,84,30,23,7,18,32,2,6,1,0,133,15,24,0,3,0
alvat001,0.266,4.875,3,6,19,13,0,0,0,175,65,35,2,26,26,1,1,4,0,269,3,40,3,0,4
alvav001,0.314,8.53,0,2,9,1,0,0,0,48,18,13,2,8,10,0,0,1,0,71,4,13,1,0,4
alvaw001,0.3005,4.1014,102,92,355,263,12,5,4,5243,1624,769,190,805,1330,29,28,50,4,7518,18,857,67,43,161
alzoa001,0.26,7.3,1,1,4,2,0,0,0,37,13,10,4,9,13,0,0,1,0,60,1,10,0,0,0
amara001,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
ambrh001,0.2888,4.995,3,7,96,0,0,0,2,318,134,63,18,44,87,4,12,4,0,487,32,70,4,5,15
amesr101,0.355,5.54,3,7,26,9,2,0,2,258,114,49,1,28,23,0,4,1,0,385,11,56,0,0,0
